date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2012-06-28 00:00:00,added Andrew Nicholson to ORL,-12675.8,-12675,-1.3,-1.3
2012-06-28 00:00:00,added Kyle O'Quinn to ORL,-1624.4,-14300,1.0,-0.3
2012-07-11 00:00:00,lost Ryan Anderson to NOH,-5006.0,-19306,-2.5,-2.8
2012-07-11 00:00:00,added Gustavo Ayón to ORL,-1142.0,-20448,0.0,-2.8
2012-08-10 00:00:00,lost Jason Richardson to PHI,1008.8,-19439,-0.5,-3.3
2012-08-10 00:00:00,lost Earl Clark to LAL,954.1,-18485,-0.4,-3.7
2012-08-10 00:00:00,lost Chris Duhon to LAL,2378.0,-16107,0.2,-3.5
2012-08-10 00:00:00,lost Dwight Howard to LAL,-1700.2,-17807,-2.9,-6.4
2012-08-10 00:00:00,added Arron Afflalo to ORL,-10883.5,-28691,1.1102230246251563e-16,-6.4
2012-08-10 00:00:00,added Al Harrington to ORL,-535.5,-29226,-0.1,-6.499999999999999
2012-08-10 00:00:00,added Romero Osby to ORL,0.0,-29226,0.0,-6.499999999999999
2012-08-10 00:00:00,added Dario Šarić to ORL,0.0,-29226,0.0,-6.499999999999999
2012-08-10 00:00:00,added Christian Eyenga to ORL,0.0,-29226,0.0,-6.499999999999999
2012-08-10 00:00:00,added Josh McRoberts to ORL,-1301.5,-30528,0.0,-6.499999999999999
2012-08-10 00:00:00,added Wesley Iwundu to ORL,-10809.4,-41337,-1.2,-7.699999999999999
2012-08-10 00:00:00,added Maurice Harkless to ORL,-5772.6,-47110,0.9000000000000001,-6.799999999999999
2012-08-10 00:00:00,added Nikola Vučević to ORL,46428.0,-682,21.2,14.4
2012-08-10 00:00:00,added Landry Shamet to ORL,0.0,-682,0.0,14.4
2012-09-06 00:00:00,added E'Twaun Moore to ORL,-6278.2,-6960,0.1,14.5
2012-09-29 00:00:00,added Armon Johnson to ORL,0.0,-6960,0.0,14.5
2012-09-29 00:00:00,added DeQuan Jones to ORL,-3613.5,-10573,-0.5,14.0
2013-02-21 00:00:00,lost Josh McRoberts to CHA,-3998.2,-14571,-2.5,11.5
2013-02-21 00:00:00,added Hakim Warrick to ORL,0.0,-14571,0.0,11.5
2013-02-21 00:00:00,lost Gustavo Ayón to MIL,81.5,-14490,-0.1,11.4
2013-02-21 00:00:00,lost J.J. Redick to MIL,1608.0,-12882,-0.0,11.4
2013-02-21 00:00:00,lost Ish Smith to MIL,165.6,-12716,-0.0,11.4
2013-02-21 00:00:00,added Tobias Harris to ORL,-110.5,-12827,2.6,14.0
2013-02-21 00:00:00,added Doron Lamb to ORL,-4889.9,-17717,-0.8,13.2
2013-02-21 00:00:00,added Beno Udrih to ORL,-959.4,-18676,0.1,13.3
2013-06-27 00:00:00,added Victor Oladipo to ORL,-466.7000000000003,-19143,3.7,17.0
2013-06-27 00:00:00,added Romero Osby to ORL,0.0,-19143,0.0,17.0
2013-07-18 00:00:00,added Jason Maxiell to ORL,-2049.6,-21192,-0.3,16.7
2013-07-25 00:00:00,added Ronnie Price to ORL,-1621.1,-22814,-0.2,16.5
2014-02-25 00:00:00,added Adonis Thomas to ORL,-153.60000000000002,-22967,0.0,16.5
2014-02-25 00:00:00,added Dewayne Dedmon to ORL,0.0,-22967,0.0,16.5
2014-03-17 00:00:00,added Dewayne Dedmon to ORL,-4481.2,-27448,-0.2,16.3
2014-06-26 00:00:00,added Aaron Gordon to ORL,0.0,-27448,0.0,16.3
2014-06-26 00:00:00,added Dario Šarić to ORL,0.0,-27448,0.0,16.3
2014-06-26 00:00:00,lost Dario Šarić to PHI,3754.9,-23693,-1.4,14.9
2014-06-26 00:00:00,lost Willy Hernangómez to PHI,-0.0,-23693,-0.0,14.9
2014-06-26 00:00:00,lost Landry Shamet to PHI,2105.2,-21588,-0.0,14.9
2014-06-26 00:00:00,added Elfrid Payton to ORL,0.0,-21588,0.0,14.9
2014-06-27 00:00:00,lost Arron Afflalo to DEN,3325.0,-18263,-0.1,14.8
2014-06-27 00:00:00,added Evan Fournier to ORL,-3759.6,-22023,1.1999999999999993,16.0
2014-06-27 00:00:00,added Devyn Marble to ORL,0.0,-22023,0.0,16.0
2014-07-02 00:00:00,added Elfrid Payton to ORL,-2248.499999999999,-24271,3.6,19.6
2014-07-02 00:00:00,added Aaron Gordon to ORL,7.199999999999648,-24264,6.1,25.700000000000003
2014-07-11 00:00:00,added Ben Gordon to ORL,-3318.0,-27582,-0.4,25.300000000000004
2014-07-14 00:00:00,added Channing Frye to ORL,-2277.2,-29859,0.7,26.000000000000004
2014-07-14 00:00:00,lost Milovan Raković to CHI,-0.0,-29859,-0.0,26.000000000000004
2014-07-14 00:00:00,added Anthony Randolph to ORL,0.0,-29859,0.0,26.000000000000004
2014-07-24 00:00:00,added Devyn Marble to ORL,-2542.2,-32402,-0.4,25.600000000000005
2014-09-29 00:00:00,added Kadeem Batts to ORL,0.0,-32402,0.0,25.600000000000005
2014-09-29 00:00:00,added Drew Crawford to ORL,0.0,-32402,0.0,25.600000000000005
2014-09-29 00:00:00,added Seth Curry to ORL,0.0,-32402,0.0,25.600000000000005
2014-09-29 00:00:00,added Peyton Siva to ORL,0.0,-32402,0.0,25.600000000000005
2015-06-25 00:00:00,added Mario Hezonja to ORL,0.0,-32402,0.0,25.600000000000005
2015-06-25 00:00:00,added Tyler Harvey to ORL,0.0,-32402,0.0,25.600000000000005
2015-06-25 00:00:00,lost Luke Ridnour to MEM,-0.0,-32402,-0.0,25.600000000000005
2015-06-25 00:00:00,added Jānis Timma to ORL,0.0,-32402,0.0,25.600000000000005
2015-07-09 00:00:00,added C.J. Watson to ORL,-5611.200000000001,-38013,-0.6000000000000001,25.000000000000004
2015-07-09 00:00:00,lost Kyle O'Quinn to NYK,-6940.4,-44953,-3.5,21.500000000000004
2015-07-09 00:00:00,lost Ignas Brazdeikis to NYK,505.7,-44447,0.1,21.600000000000005
2015-07-09 00:00:00,added Carsen Edwards to ORL,0.0,-44447,0.0,21.600000000000005
2015-07-10 00:00:00,added Mario Hezonja to ORL,-10008.8,-54456,-0.5000000000000001,21.100000000000005
2015-07-14 00:00:00,added Tobias Harris to ORL,966.0,-53490,1.0,22.100000000000005
2015-07-14 00:00:00,added Jason Smith to ORL,-2598.2000000000003,-56088,-0.1,22.000000000000004
2015-07-14 00:00:00,lost Maurice Harkless to POR,-697.7999999999996,-56786,-3.4000000000000004,18.6
2015-07-27 00:00:00,added Shabazz Napier to ORL,-1800.0,-58586,-0.2,18.4
2015-08-04 00:00:00,added Melvin Ejim to ORL,0.0,-58586,0.0,18.4
2015-09-24 00:00:00,added Keith Appling to ORL,0.0,-58586,0.0,18.4
2015-09-24 00:00:00,added Nnanna Egwu to ORL,0.0,-58586,0.0,18.4
2015-09-24 00:00:00,added Jordan Sibert to ORL,0.0,-58586,0.0,18.4
2015-09-24 00:00:00,added Greg Stiemsma to ORL,0.0,-58586,0.0,18.4
2016-01-12 00:00:00,added Joe Harris to ORL,0.0,-58586,0.0,18.4
2016-01-18 00:00:00,added Keith Appling to ORL,-407.7,-58994,-0.1,18.3
2016-02-16 00:00:00,lost Tobias Harris to DET,-9563.6,-68558,-6.1,12.2
2016-02-16 00:00:00,added Ersan İlyasova to ORL,-1072.8,-69630,0.0,12.2
2016-02-16 00:00:00,added Brandon Jennings to ORL,-361.6,-69992,0.1,12.3
2016-02-18 00:00:00,lost Channing Frye to CLE,-487.0,-70479,-1.6,10.7
2016-02-18 00:00:00,added Jared Cunningham to ORL,0.0,-70479,0.0,10.7
2016-02-18 00:00:00,added Vernon Carey Jr. to ORL,0.0,-70479,0.0,10.7
2016-06-23 00:00:00,lost Ersan İlyasova to OKC,167.4,-70312,-0.0,10.7
2016-06-23 00:00:00,lost Victor Oladipo to OKC,1111.0,-69201,-0.8,9.9
2016-06-23 00:00:00,lost Domantas Sabonis to OKC,7344.0,-61857,1.0,10.9
2016-06-23 00:00:00,added Serge Ibaka to ORL,1197.0,-60660,1.2,12.1
2016-06-23 00:00:00,added Domantas Sabonis to ORL,0.0,-60660,0.0,12.1
2016-06-23 00:00:00,added Stephen Zimmerman to ORL,0.0,-60660,0.0,12.1
2016-06-23 00:00:00,added Jake Layman to ORL,0.0,-60660,0.0,12.1
