,date,Transaction,value,Running Score
1,1973-09-28,added Toby Kimball to PHI,-2069,-2069
2,1974-02-13,added Larry Cannon to PHI,-1373,-3443
3,1990-08-01,lost Chris Gatling to GSW,3498,54
4,1990-08-01,added Manute Bol to PHI,-5104,-5049
5,1990-10-03,added Rickey Green to PHI,-4496,-9545
6,1990-10-28,lost Sharone Wright to PHO,0,-9545
7,1990-10-28,added Jayson Williams to PHI,-9015,-18560
8,1990-11-10,lost Bob Thornton to MIN,1243,-17317
9,1990-11-16,added Jim Farmer to PHI,-146,-17464
10,1990-11-20,added Andre Turner to PHI,-2391,-19855
11,1990-12-28,added Mario Elie to PHI,-332,-20187
12,1991-01-04,lost Mike Gminski to CHH,4204,-15983
13,1991-01-04,added Armen Gilliam to PHI,-6738,-22721
14,1991-01-04,added Dave Hoppen to PHI,-673,-23395
15,1991-01-28,added Tony Harris to PHI,-672,-24067
16,1991-04-17,added Robert Reid to PHI,-440,-24507
17,1991-06-26,added Alvaro Teheran to PHI,0,-24507
18,1991-07-10,added Charles Shackleford to PHI,-5651,-30159
19,1991-07-19,added Mitchell Wiggins to PHI,-3641,-33801
20,1991-08-12,added Tharon Mayes to PHI,-1333,-35134
21,1991-12-03,added Michael Ansley to PHI,-217,-35351
22,1991-12-22,added Greg Grant to PHI,-5631,-40983
