date,Transaction,single_value,value
2013-09-27,added Ike Diogu to NYK,0.0,0
2013-10-02,added Chris Douglas-Roberts to NYK,0.0,0
2014-02-27,added Shannon Brown to NYK,-636.4,-636
2014-02-27,added Earl Clark to NYK,-189.0,-825
2017-07-03,added Luke Kornet to NYK,65.20000000000005,-760
2017-07-05,added Frank Ntilikina to NYK,-18299.800000000003,-19060
2017-07-08,added Tim Hardaway Jr. to NYK,-3529.4,-22589
2017-07-14,lost Ignas Brazdeikis to SAC,-0.0,-22589
2017-07-14,added Scott Perry to NYK,0.0,-22589
2017-08-07,added Ron Baker to NYK,-860.1999999999999,-23449
2017-08-07,added Damyean Dotson to NYK,-7573.9,-31023
2017-08-08,added Michael Beasley to NYK,-330.6,-31354
2017-08-08,added Ramon Sessions to NYK,-901.8,-32255
2017-08-18,added Nigel Hayes to NYK,0.0,-32255
2017-08-18,added Jamel Artis to NYK,0.0,-32255
2017-08-18,added Xavier Rathan-Mayes to NYK,0.0,-32255
2017-09-15,added Jarrett Jack to NYK,-4334.4,-36590
2017-09-25,lost Carmelo Anthony to OKC,4751.9,-31838
2017-09-25,added Enes Kanter to NYK,5041.200000000001,-26797
2017-09-25,added Doug McDermott to NYK,-2461.2000000000003,-29258
2017-09-25,added Mitchell Robinson to NYK,0.0,-29258
2017-10-11,added Trey Burke to NYK,0.0,-29258
2017-10-20,added Isaiah Hicks to NYK,-1824.0,-31082
2018-01-14,added Trey Burke to NYK,1549.1,-29533
2018-02-07,lost Willy Hernangómez to CHO,-689.8999999999999,-30223
2018-02-07,added Johnny O'Bryant to NYK,0.0,-30223
2018-02-07,added Saben Lee to NYK,0.0,-30223
2018-02-07,added Isaiah Livers to NYK,0.0,-30223
2018-02-08,lost Justin Jackson to DEN,-0.0,-30223
2018-02-08,lost Doug McDermott to DAL,1549.6,-28673
2018-02-08,added Emmanuel Mudiay to NYK,-5481.799999999999,-34155
2018-02-21,added Troy Williams to NYK,0.0,-34155
2018-03-13,added Troy Williams to NYK,116.0,-34039
2018-06-21,added Kevin Knox to NYK,0.0,-34039
2018-06-21,added Mitchell Robinson to NYK,0.0,-34039
2018-07-03,added Isaiah Hicks to NYK,3.2,-34036
2018-07-03,added Allonzo Trier to NYK,-4639.3,-38675
2018-07-05,added Kevin Knox to NYK,-18002.8,-56678
2018-07-06,added Mario Hezonja to NYK,-4582.8,-61261
2018-07-06,added Luke Kornet to NYK,1568.0,-59693
2018-07-08,added Mitchell Robinson to NYK,17066.5,-42626
2018-07-24,added Noah Vonleh to NYK,-1205.4,-43832
2018-07-25,added Kadeem Allen to NYK,0.0,-43832
2018-10-03,added John Jenkins to NYK,0.0,-43832
2018-10-04,added Billy Garrett to NYK,0.0,-43832
2019-01-14,added Kadeem Allen to NYK,102.7,-43729
2019-01-31,lost Trey Burke to DAL,3283.4,-40445
2019-01-31,lost Tim Hardaway Jr. to DAL,11471.3,-28974
2019-01-31,lost Courtney Lee to DAL,1171.8000000000002,-27802
2019-01-31,lost Kristaps Porziņģis to DAL,-9372.0,-37174
2019-01-31,added DeAndre Jordan to NYK,1676.2,-35498
2019-01-31,added Wesley Matthews to NYK,-356.4,-35855
2019-01-31,added Dennis Smith Jr. to NYK,-4402.099999999999,-40257
2019-01-31,added Keon Johnson to NYK,0.0,-40257
2019-01-31,added Kyshawn George to NYK,0.0,-40257
2019-02-11,added John Jenkins to NYK,0.0,-40257
2019-02-20,added Henry Ellenson to NYK,0.0,-40257
2019-02-21,added John Jenkins to NYK,-1244.1,-41501
2019-03-02,added Henry Ellenson to NYK,-444.6,-41945
2019-04-02,added Billy Garrett to NYK,-346.5,-42292
2019-06-20,added RJ Barrett to NYK,0.0,-42292
2019-06-20,added Kyle Guy to NYK,0.0,-42292
2019-06-21,lost Kyle Guy to SAC,1486.0,-40806
2019-06-21,added Ignas Brazdeikis to NYK,0.0,-40806
2019-07-02,added RJ Barrett to NYK,-23412.1,-64218
2019-07-06,added Ignas Brazdeikis to NYK,-505.7,-64724
2019-07-08,added Julius Randle to NYK,24006.5,-40717
2019-07-08,added Taj Gibson to NYK,-2941.2,-43658
2019-07-08,added Bobby Portis to NYK,-1532.3000000000002,-45191
2019-07-08,added Wayne Ellington to NYK,-1618.2,-46809
2019-07-08,added Elfrid Payton to NYK,-4452.0,-51261
2019-07-15,added Marcus Morris to NYK,970.9,-50290
2019-07-16,added Reggie Bullock to NYK,-2246.9,-52537
2019-10-18,added Zak Irvin to NYK,0.0,-52537
2019-10-23,added Ivan Rabb to NYK,0.0,-52537
2020-01-14,added Kenny Wooten to NYK,0.0,-52537
