date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2007-06-28 00:00:00,added Brandan Wright to CHA,0.0,0,0.0,0.0
2007-06-28 00:00:00,added Jared Dudley to CHA,-1139.6,-1139,0.6000000000000001,0.6000000000000001
2007-06-28 00:00:00,lost Brandan Wright to GSW,374.1,-765,-0.6000000000000001,0.0
2007-06-28 00:00:00,added Jermareo Davidson to CHA,-1674.4,-2439,-0.3,-0.3
2007-06-28 00:00:00,added Jason Richardson to CHA,10085.3,7645,4.4,4.1000000000000005
2007-10-02 00:00:00,added C.J. Watson to CHA,0.0,7645,0.0,4.1000000000000005
2007-12-14 00:00:00,lost Primož Brezec to DET,235.2,7880,-0.0,4.1000000000000005
2007-12-14 00:00:00,lost Walter Herrmann to DET,822.3,8702,-0.2,3.9
2007-12-14 00:00:00,added Nazr Mohammed to CHA,-7780.700000000001,922,-0.2,3.7
2008-01-31 00:00:00,added Earl Boykins to CHA,-2769.6,-1847,-0.4,3.3000000000000003
2008-06-25 00:00:00,lost Luke Babbitt to DEN,-0.0,-1847,-0.0,3.3000000000000003
2008-06-25 00:00:00,added Alexis Ajinça to CHA,0.0,-1847,0.0,3.3000000000000003
2008-06-26 00:00:00,added D.J. Augustin to CHA,-3146.3,-4993,3.0,6.300000000000001
2008-06-26 00:00:00,added Alexis Ajinça to CHA,-1524.0,-6517,-0.3,6.000000000000001
2008-06-26 00:00:00,added Kyle Weaver to CHA,0.0,-6517,0.0,6.000000000000001
2008-08-06 00:00:00,added Shannon Brown to CHA,-238.7,-6756,0.1,6.1000000000000005
2008-08-11 00:00:00,lost Kyle Weaver to OKC,1284.0,-5472,-0.3,5.800000000000001
2008-08-11 00:00:00,added Derrick Brown to CHA,0.0,-5472,0.0,5.800000000000001
2008-09-27 00:00:00,added Andre Brown to CHA,-582.1999999999999,-6054,-0.1,5.700000000000001
2008-10-28 00:00:00,added Linton Johnson to CHA,-105.3,-6159,0.0,5.700000000000001
2008-11-24 00:00:00,added Dwayne Jones to CHA,-296.40000000000003,-6456,0.0,5.700000000000001
2008-12-10 00:00:00,lost Jared Dudley to PHO,-9118.9,-15575,-8.0,-2.299999999999999
2008-12-10 00:00:00,lost Jason Richardson to PHO,-7880.499999999999,-23455,-4.6,-6.899999999999999
2008-12-10 00:00:00,lost Gani Lawal to PHO,30.0,-23425,-0.0,-6.899999999999999
2008-12-10 00:00:00,added Raja Bell to CHA,-1210.5,-24636,0.6000000000000001,-6.299999999999999
2008-12-10 00:00:00,added Boris Diaw to CHA,4465.200000000001,-20171,5.5,-0.7999999999999989
2008-12-10 00:00:00,added Sean Singletary to CHA,-1086.0,-21257,-0.2,-0.9999999999999988
2008-12-12 00:00:00,added Juwan Howard to CHA,-1710.0,-22967,-0.2,-1.1999999999999988
2009-01-16 00:00:00,lost Matt Carroll to DAL,2315.5,-20651,0.5,-0.6999999999999988
2009-01-16 00:00:00,lost Ryan Hollins to DAL,1014.0,-19637,0.1,-0.5999999999999989
2009-01-16 00:00:00,added DeSagana Diop to CHA,-6168.8,-25806,-0.8,-1.399999999999999
2009-01-21 00:00:00,added Anthony Tolliver to CHA,0.0,-25806,0.6,-0.799999999999999
2009-01-29 00:00:00,added Cartier Martin to CHA,-744.8,-26551,-0.1,-0.899999999999999
2009-02-07 00:00:00,lost Shannon Brown to LAL,1771.2,-24779,-1.2999999999999998,-2.199999999999999
2009-02-07 00:00:00,lost Adam Morrison to LAL,1537.5,-23242,0.3,-1.8999999999999988
2009-02-07 00:00:00,added Vladimir Radmanović to CHA,-1683.1999999999998,-24925,-0.1,-1.999999999999999
2009-03-09 00:00:00,added Dontell Jefferson to CHA,-8.4,-24934,0.0,-1.999999999999999
2009-06-25 00:00:00,added Gerald Henderson to CHA,-14858.8,-39792,0.6000000000000001,-1.3999999999999988
2009-06-25 00:00:00,added Derrick Brown to CHA,-3266.3,-43059,0.4,-0.9999999999999988
2009-06-25 00:00:00,added Robert Vaden to CHA,0.0,-43059,0.0,-0.9999999999999988
2009-06-25 00:00:00,lost Robert Vaden to OKC,-0.0,-43059,-0.0,-0.9999999999999988
2009-07-28 00:00:00,lost Emeka Okafor to NOH,4149.3,-38909,-1.6,-2.5999999999999988
2009-07-28 00:00:00,added Tyson Chandler to CHA,-2326.0,-41235,0.0,-2.5999999999999988
2009-09-24 00:00:00,added Ronald Murray to CHA,-2085.3,-43321,0.0,-2.5999999999999988
2009-09-28 00:00:00,added Earl Barron to CHA,0.0,-43321,0.0,-2.5999999999999988
2009-09-28 00:00:00,added Stephen Graham to CHA,-1286.4,-44607,0.1,-2.4999999999999987
2009-09-28 00:00:00,added Antonio Anderson to CHA,0.0,-44607,0.0,-2.4999999999999987
2009-11-16 00:00:00,lost Raja Bell to GSW,-200.1,-44807,-0.1,-2.5999999999999988
2009-11-16 00:00:00,lost Vladimir Radmanović to GSW,3300.5,-41507,-0.1999999999999999,-2.799999999999999
2009-11-16 00:00:00,added Stephen Jackson to CHA,494.8999999999999,-41012,2.7,-0.0999999999999987
2009-11-16 00:00:00,added Acie Law to CHA,-280.5,-41292,-0.1,-0.1999999999999987
2010-02-18 00:00:00,lost Acie Law to CHI,135.0,-41157,-0.0,-0.1999999999999987
2010-02-18 00:00:00,lost Ronald Murray to CHI,1700.0,-39457,0.1,-0.0999999999999987
2010-02-18 00:00:00,lost Jusuf Nurkić to CHI,-0.0,-39457,-0.0,-0.0999999999999987
2010-02-18 00:00:00,added Tyrus Thomas to CHA,-9061.6,-48519,-0.9,-0.9999999999999988
2010-02-18 00:00:00,added Theo Ratliff to CHA,-936.0,-49455,0.1,-0.8999999999999988
2010-03-13 00:00:00,added Larry Hughes to CHA,-619.5,-50074,0.0,-0.8999999999999988
2010-07-10 00:00:00,added Dominic McGuire to CHA,0.0,-50074,0.0,-0.8999999999999988
2010-07-13 00:00:00,lost Alexis Ajinça to DAL,217.5,-49857,-0.0,-0.8999999999999988
2010-07-13 00:00:00,lost Tyson Chandler to DAL,-9032.1,-58889,-4.5,-5.399999999999999
2010-07-13 00:00:00,added Matt Carroll to CHA,-6041.800000000001,-64931,-0.9,-6.299999999999999
2010-07-13 00:00:00,added Erick Dampier to CHA,0.0,-64931,0.0,-6.299999999999999
2010-07-13 00:00:00,added Eduardo Nájera to CHA,-2122.2,-67053,-0.3,-6.599999999999999
2010-07-20 00:00:00,added Shaun Livingston to CHA,0.0,-67053,0.7,-5.899999999999999
2010-08-06 00:00:00,added Sherron Collins to CHA,-528.0,-67581,-0.1,-5.999999999999998
2010-08-19 00:00:00,added Kwame Brown to CHA,-4799.2,-72380,-0.3,-6.299999999999998
2011-02-24 00:00:00,lost Gerald Wallace to POR,-4554.6,-76935,-2.3,-8.599999999999998
2011-02-24 00:00:00,added Dante Cunningham to CHA,-1481.1999999999998,-78416,-0.1,-8.699999999999998
2011-02-24 00:00:00,added Sean Marks to CHA,0.0,-78416,0.0,-8.699999999999998
2011-02-24 00:00:00,added Joel Przybilla to CHA,-873.2,-79289,-0.2,-8.899999999999997
2011-02-24 00:00:00,added Tobias Harris to CHA,0.0,-79289,0.0,-8.899999999999997
2011-02-24 00:00:00,added Shabazz Napier to CHA,0.0,-79289,0.0,-8.899999999999997
2011-02-24 00:00:00,lost Nazr Mohammed to OKC,2784.0,-76505,0.1,-8.799999999999997
2011-02-24 00:00:00,added Morris Peterson to CHA,0.0,-76505,0.0,-8.799999999999997
2011-02-24 00:00:00,added D.J. White to CHA,-4181.799999999999,-80687,-0.3,-9.099999999999998
2011-03-03 00:00:00,added Dominic McGuire to CHA,-2204.0,-82891,-0.2,-9.299999999999995
2011-03-07 00:00:00,added Garrett Temple to CHA,-831.5999999999999,-83723,-0.1,-9.399999999999997
