date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2013-01-22 00:00:00,lost Wayne Ellington to CLE,492.5,492,-0.4,-0.4,trade,Wayne Ellington
2013-01-22 00:00:00,lost Josh Selby to CLE,-0.0,492,-0.0,-0.4,trade,Josh Selby
2013-01-22 00:00:00,lost Marreese Speights to CLE,2235.1,2727,0.2,-0.2,trade,Marreese Speights
2013-01-22 00:00:00,lost Harry Giles to CLE,-0.0,2727,-0.0,-0.2,trade,Harry Giles
2013-01-22 00:00:00,added Jon Leuer to MEM,96.0,2823,0.0999999999999999,-0.1000000000000001,trade,Jon Leuer
2013-01-23 00:00:00,added Chris Johnson to MEM,51.0,2874,0.1,-1.1102230246251563e-16,signing,Chris Johnson
2013-01-30 00:00:00,lost Rudy Gay to TOR,-2560.8,313,-1.5,-1.5,multitrade,Rudy Gay
2013-01-30 00:00:00,lost Hamed Haddadi to TOR,-0.0,313,-0.0,-1.5,multitrade,Hamed Haddadi
2013-01-30 00:00:00,lost José Calderón to DET,247.29999999999973,561,-0.7,-2.2,multitrade,José Calderón
2013-01-30 00:00:00,added Austin Daye to MEM,360.8,921,0.3,-1.9,multitrade,Austin Daye
2013-01-30 00:00:00,added Tayshaun Prince to MEM,-6931.400000000001,-6009,0.1999999999999999,-1.7000000000000002,multitrade,Tayshaun Prince
2013-01-30 00:00:00,added José Calderón to MEM,0.0,-6009,0.0,-1.7000000000000002,multitrade,José Calderón
2013-01-30 00:00:00,added Ed Davis to MEM,-1201.6,-7211,0.5,-1.2000000000000002,multitrade,Ed Davis
2013-01-30 00:00:00,added Jamaal Franklin to MEM,0.0,-7211,0.0,-1.2000000000000002,multitrade,Jamaal Franklin
2013-02-21 00:00:00,lost Ricky Sánchez to MIA,-0.0,-7211,-0.0,-1.2000000000000002,trade,Ricky Sánchez
2013-02-21 00:00:00,added Dexter Pittman to MEM,-464.0,-7675,-0.1,-1.3000000000000005,trade,Dexter Pittman
2013-02-21 00:00:00,added Jānis Timma to MEM,0.0,-7675,0.0,-1.3000000000000005,trade,Jānis Timma
2013-04-03 00:00:00,added Keyon Dooling to MEM,-114.8,-7789,0.0,-1.3000000000000005,signing,Keyon Dooling
2013-04-17 00:00:00,added Donté Greene to MEM,0.0,-7789,0.0,-1.3000000000000005,signing,Donté Greene
2013-06-27 00:00:00,added Jamaal Franklin to MEM,0.0,-7789,0.0,-1.3000000000000005,draft,Jamaal Franklin
2013-06-27 00:00:00,added Joffrey Lauvergne to MEM,0.0,-7789,0.0,-1.3000000000000005,draft,Joffrey Lauvergne
2013-06-27 00:00:00,added Jānis Timma to MEM,0.0,-7789,0.0,-1.3000000000000005,draft,Jānis Timma
2013-06-27 00:00:00,lost Darrell Arthur to DEN,7418.8,-371,-0.2999999999999999,-1.6,trade,Darrell Arthur
2013-06-27 00:00:00,lost Joffrey Lauvergne to DEN,3166.4,2795,0.1,-1.5,trade,Joffrey Lauvergne
2013-06-27 00:00:00,added Kosta Koufos to MEM,-3641.1,-845,0.4,-1.1,trade,Kosta Koufos
2013-07-10 00:00:00,added Jon Leuer to MEM,-1665.1999999999998,-2511,0.4,-0.7000000000000001,signing,Jon Leuer
2013-07-22 00:00:00,added Nick Calathes to MEM,-1055.7,-3566,0.7,-1.1102230246251563e-16,trade,Nick Calathes
2013-07-24 00:00:00,added Josh Akognon to MEM,0.0,-3566,0.0,-1.1102230246251563e-16,signing,Josh Akognon
2013-07-25 00:00:00,added Jamaal Franklin to MEM,-949.9,-4516,-0.2,-0.2000000000000001,signing,Jamaal Franklin
2013-07-30 00:00:00,added Mike Miller to MEM,682.8000000000001,-3833,1.0,0.7999999999999998,signing,Mike Miller
2013-08-15 00:00:00,lost Donté Greene to BOS,-0.0,-3833,-0.0,0.7999999999999998,trade,Donté Greene
2013-08-15 00:00:00,added Fab Melo to MEM,0.0,-3833,0.0,0.7999999999999998,trade,Fab Melo
2013-08-22 00:00:00,lost Tony Wroten to PHI,9534.1,5700,0.8999999999999999,1.6999999999999995,trade,Tony Wroten
2013-12-16 00:00:00,added James Johnson to MEM,4302.0,10002,1.6,3.3,signing,James Johnson
2014-01-07 00:00:00,lost Vlatko Čančar to OKC,-0.0,10002,-0.0,3.3,multitrade,Vlatko Čančar
2014-01-07 00:00:00,lost Jerryd Bayless to BOS,1761.2,11763,-0.1,3.2,multitrade,Jerryd Bayless
2014-01-07 00:00:00,added Courtney Lee to MEM,-1488.8000000000002,10274,2.3,5.5,multitrade,Courtney Lee
2014-01-07 00:00:00,added Joel Bolomboy to MEM,0.0,10274,0.0,5.5,multitrade,Joel Bolomboy
2014-02-03 00:00:00,added Darius Morris to MEM,-165.0,10109,0.0,5.5,signing,Darius Morris
2014-02-27 00:00:00,added Beno Udrih to MEM,541.0,10650,0.9,6.4,signing,Beno Udrih
