date,Transaction,single_value,value
2018-09-21 00:00:00,added Emeka Okafor to PHI,0.0,0
2018-10-10 00:00:00,added Matt Farrell to PHI,0.0,0
2018-10-10 00:00:00,added DJ Hogg to PHI,0.0,0
2018-10-12 00:00:00,added Cory Jefferson to PHI,0.0,0
2018-10-12 00:00:00,added Darin Johnson to PHI,0.0,0
2018-11-12 00:00:00,lost Jerryd Bayless to MIN,3022.2,3022
2018-11-12 00:00:00,lost Robert Covington to MIN,-1678.6,1343
2018-11-12 00:00:00,lost Dario Šarić to MIN,1301.6,2645
2018-11-12 00:00:00,lost Matteo Spagnolo to MIN,-0.0,2645
2018-11-12 00:00:00,added Jimmy Butler to PHI,5654.400000000001,8299
2018-11-12 00:00:00,added Justin Patton to PHI,-42.0,8257
2019-01-08 00:00:00,added Haywood Highsmith to PHI,-328.0,7929
2019-01-15 00:00:00,added Corey Brewer to PHI,-504.0,7425
2019-02-06 00:00:00,lost Wilson Chandler to LAC,1378.6,8804
2019-02-06 00:00:00,lost Mike Muscala to LAC,-0.0,8804
2019-02-06 00:00:00,lost Landry Shamet to LAC,3882.0,12686
2019-02-06 00:00:00,lost Saddiq Bey to LAC,-0.0,12686
2019-02-06 00:00:00,lost Tre Mann to LAC,-0.0,12686
2019-02-06 00:00:00,lost Jeremiah Robinson-Earl to LAC,-0.0,12686
2019-02-06 00:00:00,lost James Nnaji to LAC,-0.0,12686
2019-02-06 00:00:00,added Tobias Harris to PHI,-94.40000000000146,12591
2019-02-06 00:00:00,added Boban Marjanović to PHI,1006.5,13598
2019-02-06 00:00:00,added Mike Scott to PHI,-2393.9000000000005,11204
2019-02-06 00:00:00,added Emir Preldžić to PHI,0.0,11204
2019-02-06 00:00:00,added Malachi Richardson to PHI,0.0,11204
2019-02-06 00:00:00,added Tyrese Martin to PHI,0.0,11204
2019-02-07 00:00:00,lost Markelle Fultz to ORL,4851.8,16056
2019-02-07 00:00:00,added Jonathon Simmons to PHI,-175.20000000000002,15880
2019-02-07 00:00:00,added Carsen Edwards to PHI,0.0,15880
2019-02-07 00:00:00,added Tyrese Maxey to PHI,13457.7,29338
2019-02-07 00:00:00,added James Ennis to PHI,-1039.6999999999998,28299
2019-04-04 00:00:00,added Greg Monroe to PHI,426.4,28725
2019-06-20 00:00:00,added Ty Jerome to PHI,0.0,28725
2019-06-20 00:00:00,added Carsen Edwards to PHI,0.0,28725
2019-06-20 00:00:00,added Bruno Fernando to PHI,0.0,28725
2019-06-20 00:00:00,added Admiral Schofield to PHI,0.0,28725
2019-06-20 00:00:00,added Marial Shayok to PHI,0.0,28725
2019-06-21 00:00:00,lost Carsen Edwards to BOS,2856.6,31582
2019-06-21 00:00:00,lost Ty Jerome to BOS,-0.0,31582
2019-06-21 00:00:00,added Matisse Thybulle to PHI,0.0,31582
2019-06-21 00:00:00,lost Admiral Schofield to WAS,2024.0,33606
2019-06-21 00:00:00,lost Jonathon Simmons to WAS,-0.0,33606
2019-07-02 00:00:00,added Norvel Pelle to PHI,-1206.4,32399
2019-07-03 00:00:00,added Matisse Thybulle to PHI,4764.900000000001,37164
2019-07-06 00:00:00,added Jimmy Butler to PHI,0.0,37164
2019-07-06 00:00:00,lost Jimmy Butler to MIA,-67774.4,-30609
2019-07-06 00:00:00,lost Mathias Lessort to LAC,-0.0,-30609
2019-07-06 00:00:00,added Josh Richardson to PHI,-3047.4,-33657
2019-07-07 00:00:00,added Marial Shayok to PHI,-364.0,-34021
2019-07-07 00:00:00,lost Bruno Fernando to ATL,6165.9,-27855
2019-07-07 00:00:00,added Jordan Bone to PHI,0.0,-27855
2019-07-07 00:00:00,added Théo Maledon to PHI,0.0,-27855
2019-07-07 00:00:00,added Colby Jones to PHI,0.0,-27855
2019-07-07 00:00:00,lost Jordan Bone to DET,630.7,-27224
2019-07-10 00:00:00,added Al Horford to PHI,4455.0,-22769
2019-07-10 00:00:00,added Tobias Harris to PHI,13263.4,-9506
2019-07-10 00:00:00,added Mike Scott to PHI,-4558.2,-14064
2019-07-11 00:00:00,added Kyle O'Quinn to PHI,939.0,-13125
2019-07-11 00:00:00,added James Ennis to PHI,-1164.0,-14289
2019-07-11 00:00:00,added Raul Neto to PHI,-1202.4,-15491
2019-07-16 00:00:00,added Ben Simmons to PHI,12704.5,-2787
2019-07-26 00:00:00,added Furkan Korkmaz to PHI,-8879.5,-11666
2019-07-30 00:00:00,added Trey Burke to PHI,-164.5,-11831
2019-10-19 00:00:00,added Julian Washburn to PHI,0.0,-11831
2019-10-19 00:00:00,added Xavier Munford to PHI,0.0,-11831
2019-10-19 00:00:00,added Shizz Alston Jr. to PHI,0.0,-11831
2019-10-19 00:00:00,added Terry Harris to PHI,0.0,-11831
2019-10-19 00:00:00,added Jared Brownridge to PHI,0.0,-11831
2020-02-06 00:00:00,lost James Ennis to ORL,4320.800000000001,-7510
2020-02-06 00:00:00,added Paul Reed to PHI,1017.7,-6492
2020-02-06 00:00:00,lost Nico Mannion to GSW,1419.6,-5073
2020-02-06 00:00:00,lost Aaron Wiggins to GSW,-0.0,-5073
2020-02-06 00:00:00,lost Tyrese Martin to GSW,-0.0,-5073
2020-02-06 00:00:00,added Alec Burks to PHI,728.0,-4345
2020-02-06 00:00:00,added Glenn Robinson to PHI,-378.0,-4723
