date,Transaction,single_value,value
2013-06-27 00:00:00,added Ben McLemore to SAC,-25597,-25597
2013-06-27 00:00:00,added Ray McCallum to SAC,0,-25597
2013-07-10 00:00:00,lost Tyreke Evans to NOP,-5745,-31342
2013-07-10 00:00:00,added Greivis Vásquez to SAC,-837,-32179
2013-07-10 00:00:00,added Malcolm Brogdon to SAC,0,-32179
2013-07-10 00:00:00,added Chinanu Onuaku to SAC,0,-32179
2013-07-12 00:00:00,lost Malcolm Brogdon to MIL,-1514,-33694
2013-07-12 00:00:00,lost Admiral Schofield to MIL,0,-33694
2013-07-12 00:00:00,added Luc Mbah a Moute to SAC,98,-33596
2013-07-12 00:00:00,added Vanja Marinkovic to SAC,0,-33596
2013-07-15 00:00:00,added Carl Landry to SAC,-3463,-37060
2013-07-18 00:00:00,added Ray McCallum to SAC,-5652,-42712
2013-08-28 00:00:00,added Trent Lockett to SAC,0,-42712
2013-11-26 00:00:00,lost Luc Mbah a Moute to MIN,2905,-39807
2013-11-26 00:00:00,added Derrick Williams to SAC,-6074,-45881
2013-12-09 00:00:00,lost Chuck Hayes to TOR,1347,-44534
2013-12-09 00:00:00,lost Patrick Patterson to TOR,-7583,-52118
2013-12-09 00:00:00,lost John Salmons to TOR,2305,-49812
2013-12-09 00:00:00,lost Greivis Vásquez to TOR,1859,-47952
2013-12-09 00:00:00,added Quincy Acy to SAC,-1816,-49769
2013-12-09 00:00:00,added Rudy Gay to SAC,11685,-38083
2013-12-09 00:00:00,added Aaron Gray to SAC,-1507,-39591
2014-02-19 00:00:00,lost Marcus Thornton to BRK,0,-39591
2014-02-19 00:00:00,added Reggie Evans to SAC,-2433,-42025
2014-02-19 00:00:00,added Jason Terry to SAC,0,-42025
2014-02-20 00:00:00,added Roger Mason to SAC,0,-42025
2014-02-26 00:00:00,added Orlando Johnson to SAC,-525,-42550
2014-03-06 00:00:00,added Royce White to SAC,-152,-42702
2014-03-28 00:00:00,added Willie Reed to SAC,0,-42702
2014-03-31 00:00:00,added Jared Cunningham to SAC,0,-42702
2014-04-10 00:00:00,added Jared Cunningham to SAC,-75,-42777
2014-06-26 00:00:00,added Nik Stauskas to SAC,0,-42777
2014-07-08 00:00:00,added Nik Stauskas to SAC,-3719,-46496
2014-07-11 00:00:00,added Darren Collison to SAC,1651,-44844
2014-07-12 00:00:00,lost Isaiah Thomas to PHO,-2952,-47797
2014-07-12 00:00:00,added Alex Oriakhi to SAC,0,-47797
2014-07-30 00:00:00,added Eric Moreland to SAC,-181,-47979
2014-08-06 00:00:00,lost Quincy Acy to NYK,3989,-43989
2014-08-06 00:00:00,lost Travis Outlaw to NYK,0,-43989
2014-08-06 00:00:00,added Wayne Ellington to SAC,0,-43989
2014-08-06 00:00:00,added Jeremy Tyler to SAC,0,-43989
2014-08-15 00:00:00,added Sim Bhullar to SAC,97,-43891
2014-09-05 00:00:00,added David Wear to SAC,-65,-43957
2014-09-17 00:00:00,lost Jason Terry to HOU,1192,-42765
2014-09-17 00:00:00,lost Rakeem Christmas to HOU,0,-42765
2014-09-17 00:00:00,lost Chinanu Onuaku to HOU,401,-42363
2014-09-17 00:00:00,added Alonzo Gee to SAC,0,-42363
2014-09-17 00:00:00,added Scotty Hopson to SAC,0,-42363
2014-09-18 00:00:00,added Omri Casspi to SAC,-1977,-44340
2014-09-18 00:00:00,added Ryan Hollins to SAC,-1014,-45355
2014-09-22 00:00:00,added Ramon Sessions to SAC,-3274,-48629
2014-09-25 00:00:00,added Deonte Burton to SAC,0,-48629
2014-09-25 00:00:00,added Trey Johnson to SAC,0,-48629
2015-01-17 00:00:00,added Quincy Miller to SAC,0,-48629
2015-01-30 00:00:00,added Quincy Miller to SAC,-6,-48635
2015-02-19 00:00:00,lost Ramon Sessions to WAS,805,-47830
2015-02-19 00:00:00,added Andre Miller to SAC,-2239,-50069
2015-02-20 00:00:00,added David Stockton to SAC,-128,-50197
