,date,Transaction,value,Running Score
1,2014-09-29,added Jarell Eddie to ATL,0,0
2,2014-09-29,added Dexter Pittman to ATL,0,0
3,2015-02-10,lost Adreian Payne to MIN,8219,8219
4,2015-02-10,added Kevin Huerter to ATL,-10994,-2774
5,2015-03-05,added Jarell Eddie to ATL,0,-2774
6,2015-03-15,added Austin Daye to ATL,0,-2774
7,2015-04-04,added Austin Daye to ATL,-38,-2812
8,2015-06-25,added Kelly Oubre Jr. to ATL,0,-2812
9,2015-06-25,added Marcus Eriksson to ATL,0,-2812
10,2015-06-25,added Dimitrios Agravanis to ATL,0,-2812
11,2015-06-25,lost Kelly Oubre Jr. to WAS,14313,11500
12,2015-06-25,lost Jerian Grant to NYK,3921,15422
13,2015-06-25,added Tim Hardaway Jr. to ATL,299,15721
14,2015-06-25,added Jerian Grant to ATL,0,15721
15,2015-06-25,added Cody Martin to ATL,0,15721
16,2015-07-09,added Paul Millsap to ATL,16037,31759
17,2015-07-09,lost Georgios Printezis to SAS,0,31759
18,2015-07-09,added Tiago Splitter to ATL,-984,30775
19,2015-07-09,added Edy Tavares to ATL,-135,30639
20,2015-07-09,added Justin Holiday to ATL,-2993,27645
21,2015-07-23,added Terran Petteway to ATL,0,27645
22,2015-07-24,added Lamar Patterson to ATL,-2014,25631
23,2015-08-18,added Jason Richardson to ATL,0,25631
24,2015-09-24,added DeQuan Jones to ATL,0,25631
25,2015-09-24,added Edgar Sosa to ATL,0,25631
26,2015-09-25,added Earl Barron to ATL,0,25631
27,2015-09-29,added Arsalan Kazemi to ATL,0,25631
28,2016-02-18,lost Shelvin Mack to UTA,3914,29545
29,2016-02-18,lost Justin Holiday to CHI,5670,35215
30,2016-02-18,added Kirk Hinrich to ATL,-190,35025
31,2016-03-01,added Kris Humphries to ATL,-413,34612
32,2016-06-23,added DeAndre' Bembry to ATL,0,34612
33,2016-06-23,added Isaïa Cordinier to ATL,0,34612
34,2016-06-23,added Kay Felder to ATL,0,34612
35,2016-06-23,lost Kay Felder to CLE,926,35539
36,2016-07-07,lost Jeff Teague to IND,-5845,29693
37,2016-07-07,added Taurean Prince to ATL,0,29693
38,2016-07-07,added Kent Bazemore to ATL,-4668,25025
39,2016-07-11,added Jarrett Jack to ATL,0,25025
40,2016-07-12,added Dwight Howard to ATL,3078,28103
41,2016-07-14,added Kris Humphries to ATL,-1378,26725
42,2016-07-15,added Malcolm Delaney to ATL,-9625,17100
43,2016-07-15,added Taurean Prince to ATL,-7580,9520
44,2016-07-15,added DeAndre' Bembry to ATL,-10358,-838
45,2016-07-18,added Matt Costello to ATL,0,-838
46,2016-09-16,added Ryan Kelly to ATL,0,-838
47,2016-09-16,added Will Bynum to ATL,0,-838
48,2016-09-20,added Richard Solomon to ATL,0,-838
49,2016-10-03,added Josh Magette to ATL,-561,-1400
50,2016-10-26,added Dennis Schröder to ATL,-1246,-2646
51,2016-10-31,added Ryan Kelly to ATL,0,-2646
52,2017-01-07,lost Kyle Korver to CLE,-396,-3043
53,2017-01-07,added Mike Dunleavy to ATL,-47,-3091
54,2017-01-07,added Mo Williams to ATL,0,-3091
55,2017-01-07,added Herbert Jones to ATL,0,-3091
56,2017-01-07,added Vince Williams Jr. to ATL,0,-3091
57,2017-01-18,lost Mo Williams to DEN,0,-3091
58,2017-01-18,added Cenk Akyol to ATL,0,-3091
59,2017-01-18,added Gary Neal to ATL,-286,-3377
60,2017-01-29,added Lamar Patterson to ATL,0,-3377
61,2017-02-22,lost Tiago Splitter to PHI,326,-3050
62,2017-02-22,lost Sterling Brown to PHI,0,-3050
63,2017-02-22,lost Mathias Lessort to PHI,0,-3050
64,2017-02-22,added Ersan İlyasova to ATL,-370,-3421
65,2017-02-22,added Alpha Kaba to ATL,0,-3421
66,2017-02-23,lost Cenk Akyol to PHO,0,-3421
67,2017-02-23,lost Mike Scott to PHO,0,-3421
68,2017-02-24,added Lamar Patterson to ATL,-456,-3877
69,2017-02-24,added Ryan Kelly to ATL,-341,-4218
