date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1972-04-10 00:00:00,added Russ Lee to MIL,-514.6,-514,0.0,0.0
1972-04-10 00:00:00,added Julius Erving to MIL,0.0,-514,0.0,0.0
1972-04-10 00:00:00,added Chuck Terry to MIL,-137.6,-652,0.0,0.0
1972-04-10 00:00:00,added George Adams to MIL,0.0,-652,0.0,0.0
1972-04-10 00:00:00,added Art White to MIL,0.0,-652,0.0,0.0
1972-04-10 00:00:00,added Ron Harris to MIL,0.0,-652,0.0,0.0
1972-04-10 00:00:00,added Mickey Davis to MIL,0.0,-652,0.0,0.0
1972-04-10 00:00:00,added Charles Kirkland to MIL,0.0,-652,0.0,0.0
1972-04-10 00:00:00,added Jim Regenold to MIL,0.0,-652,0.0,0.0
1972-04-10 00:00:00,added Jolly Spight to MIL,0.0,-652,0.0,0.0
1972-09-18 00:00:00,added Dick Cunningham to MIL,0.0,-652,0.0,0.0
1972-10-09 00:00:00,lost Toby Kimball to KCO,-0.0,-652,-0.0,0.0
1972-10-09 00:00:00,added Clyde Turner to MIL,0.0,-652,0.0,0.0
1972-10-10 00:00:00,lost Gary Melchionni to PHI,-0.0,-652,-0.0,0.0
1972-10-10 00:00:00,added Gary Gregor to MIL,0.0,-652,0.0,0.0
1972-11-15 00:00:00,added Terry Driscoll to MIL,0.0,-652,0.0,0.0
1973-04-24 00:00:00,added Swen Nater to MIL,2744.0,2091,1.7,1.7
1973-04-24 00:00:00,added Clyde Turner to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added Harry Rogers to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added Larry Jackson to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added James Floyd to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added Eddie Childress to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added Walt McGary to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added Bob Vacca to MIL,0.0,2091,0.0,1.7
1973-04-24 00:00:00,added Ron Battle to MIL,0.0,2091,0.0,1.7
1973-08-24 00:00:00,added Ron Williams to MIL,0.0,2091,0.0,1.7
1973-09-10 00:00:00,added Bob Verga to MIL,0.0,2091,0.0,1.7
1973-11-05 00:00:00,added Cornell Warner to MIL,0.0,2091,0.0,1.7
1974-01-08 00:00:00,added Dick Garrett to MIL,0.0,2091,0.0,1.7
1974-05-28 00:00:00,added Gary Brokaw to MIL,-9105.0,-7013,-0.3,1.4
1974-05-28 00:00:00,added Greg McDougald to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added Lionel Billingly to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added John Johnson to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added Larry Williams to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added Bob Hornstein to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added Ralph Palomar to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added Mike Deane to MIL,0.0,-7013,0.0,1.4
1974-05-28 00:00:00,added Bruce Featherston to MIL,0.0,-7013,0.0,1.4
1974-05-30 00:00:00,added George Thompson to MIL,0.0,-7013,0.0,1.4
1974-05-30 00:00:00,added George Thompson to MIL,0.0,-7013,0.0,1.4
1974-06-10 00:00:00,added Kevin Restani to MIL,-9338.1,-16351,0.7999999999999999,2.2
1974-07-07 00:00:00,added Bob Rule to MIL,0.0,-16351,0.0,2.2
1974-10-08 00:00:00,lost Russ Lee to NOJ,417.0,-15934,-0.0,2.2
1974-10-08 00:00:00,lost Rich Kelley to NOJ,-19711.7,-35646,-8.899999999999999,-6.699999999999999
1974-10-08 00:00:00,added Steve Kuberski to MIL,0.0,-35646,0.0,-6.699999999999999
1974-10-08 00:00:00,added Clyde Mayes to MIL,0.0,-35646,0.0,-6.699999999999999
1974-11-08 00:00:00,lost Lucius Allen to LAL,-0.0,-35646,-0.0,-6.699999999999999
1974-11-08 00:00:00,added Jim Price to MIL,-1881.6,-37527,1.8,-4.9
1974-11-27 00:00:00,added Walt Wesley to MIL,0.0,-37527,0.0,-4.9
1975-05-29 00:00:00,added Clyde Mayes to MIL,-3412.8,-40940,-0.4,-5.3
1975-05-29 00:00:00,added Cornelius Cash to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Brian Hammel to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Bill Campion to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Oliver Purnell to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Wilbur Thomas to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Bob McCurdy to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Eric Hays to MIL,0.0,-40940,0.0,-5.3
1975-05-29 00:00:00,added Romie Thomas to MIL,0.0,-40940,0.0,-5.3
1975-06-05 00:00:00,added Alex English to MIL,0.0,-40940,0.0,-5.3
1975-06-05 00:00:00,added Bayard Forrest to MIL,0.0,-40940,0.0,-5.3
1975-06-16 00:00:00,lost Kareem Abdul-Jabbar to LAL,-0.0,-40940,-0.0,-5.3
1975-06-16 00:00:00,lost Walt Wesley to LAL,-0.0,-40940,-0.0,-5.3
1975-06-16 00:00:00,added Junior Bridgeman to MIL,-3060.7,-44001,8.299999999999999,2.999999999999999
1975-06-16 00:00:00,added Dave Meyers to MIL,-5230.1,-49231,2.5,5.499999999999999
1975-06-16 00:00:00,added Elmore Smith to MIL,0.0,-49231,0.0,5.499999999999999
1975-06-16 00:00:00,added Brian Winters to MIL,-5966.0,-55197,7.699999999999999,13.2
1975-09-23 00:00:00,lost Ron Williams to LAL,-0.0,-55197,-0.0,13.2
1975-09-23 00:00:00,added James Rappis to MIL,0.0,-55197,0.0,13.2
1975-10-22 00:00:00,lost Bayard Forrest to SEA,-0.0,-55197,-0.0,13.2
1975-10-22 00:00:00,added Jim Fox to MIL,0.0,-55197,0.0,13.2
1975-10-22 00:00:00,lost Cornell Warner to LAL,-0.0,-55197,-0.0,13.2
1976-06-08 00:00:00,added Quinn Buckner to MIL,5914.1,-49283,7.800000000000001,21.0
1976-06-08 00:00:00,added Alex English to MIL,-170.39999999999998,-49453,1.0,22.0
1976-06-08 00:00:00,added Scott Lloyd to MIL,-4343.0,-53796,-0.6,21.4
1976-06-08 00:00:00,added Lloyd Walton to MIL,-5922.9,-59719,0.9,22.3
1976-06-08 00:00:00,added Dan Frost to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added Tom Lockhart to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added James Rappis to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added Phil Spence to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added Ron Barrow to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added Bob Warner to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added Bennie Shaw to MIL,0.0,-59719,0.0,22.3
1976-06-08 00:00:00,added Hugo Cabrera to MIL,0.0,-59719,0.0,22.3
1976-08-05 00:00:00,lost Bird Averitt to BUF,9793.2,-49926,1.5,23.8
1976-08-05 00:00:00,added Glen Williams to MIL,0.0,-49926,0.0,23.8
1976-11-02 00:00:00,lost Jim Price to BUF,732.6,-49193,-0.0,23.8
1976-11-02 00:00:00,added Tate Armstrong to MIL,0.0,-49193,0.0,23.8
1976-11-12 00:00:00,added Glenn McDonald to MIL,-458.2,-49651,-0.1,23.7
1976-12-08 00:00:00,lost Wilson Washington to PHI,220.4,-49431,0.1,23.8
1976-12-08 00:00:00,lost Maurice Cheeks to PHI,-89200.59999999999,-138632,-36.9,-13.1
1976-12-08 00:00:00,added Fred Carter to MIL,0.0,-138632,0.0,-13.1
1977-01-13 00:00:00,lost Gary Brokaw to CLE,-59.6,-138691,-0.3,-13.400000000000002
1977-01-13 00:00:00,lost Elmore Smith to CLE,-0.0,-138691,-0.0,-13.400000000000002
1977-01-13 00:00:00,added Rowland Garrett to MIL,-919.2,-139610,0.0,-13.400000000000002
1977-01-13 00:00:00,added Ernie Grunfeld to MIL,-2751.5,-142362,0.8,-12.6
