date,Transaction,single_value,value
2018-06-21 00:00:00,added Mikal Bridges to PHI,0,0
2018-06-21 00:00:00,added Landry Shamet to PHI,0,0
2018-06-21 00:00:00,added Khyri Thomas to PHI,0,0
2018-06-21 00:00:00,added Isaac Bonga to PHI,0,0
2018-06-21 00:00:00,added Ray Spalding to PHI,0,0
2018-06-21 00:00:00,added Kostas Antetokounmpo to PHI,0,0
2018-06-21 00:00:00,lost Mikal Bridges to PHO,-12121,-12121
2018-06-21 00:00:00,added Zhaire Smith to PHI,0,-12121
2018-06-21 00:00:00,added Tre Mann to PHI,0,-12121
2018-06-21 00:00:00,lost Kostas Antetokounmpo to DAL,139,-11981
2018-06-21 00:00:00,lost Ray Spalding to DAL,12,-11968
2018-06-21 00:00:00,added Shake Milton to PHI,0,-11968
2018-06-21 00:00:00,lost Khyri Thomas to DET,1456,-10512
2018-06-21 00:00:00,added Jeremiah Robinson-Earl to PHI,0,-10512
2018-06-21 00:00:00,added James Nnaji to PHI,0,-10512
2018-07-02 00:00:00,added Zhaire Smith to PHI,-868,-11380
2018-07-04 00:00:00,added Landry Shamet to PHI,-2105,-13485
2018-07-06 00:00:00,lost Isaac Bonga to LAL,576,-12909
2018-07-06 00:00:00,added Bruno Fernando to PHI,0,-12909
2018-07-06 00:00:00,added Wilson Chandler to PHI,-1902,-14811
2018-07-06 00:00:00,added Aaron Wiggins to PHI,0,-14811
2018-07-06 00:00:00,added Matteo Spagnolo to PHI,0,-14811
2018-07-06 00:00:00,added J.J. Redick to PHI,475,-14336
2018-07-16 00:00:00,added Amir Johnson to PHI,-1216,-15552
2018-07-20 00:00:00,lost Richaun Holmes to PHO,-710,-16263
2018-07-25 00:00:00,added Jonah Bolden to PHI,-653,-16916
2018-07-25 00:00:00,lost Timothé Luwawu-Cabarrot to OKC,873,-16042
2018-07-25 00:00:00,lost Justin Anderson to ATL,1250,-14792
2018-07-25 00:00:00,added Mike Muscala to PHI,-1561,-16354
2018-07-26 00:00:00,added Shake Milton to PHI,-9728,-26082
2018-07-27 00:00:00,added Demetrius Jackson to PHI,175,-25906
2018-08-03 00:00:00,added Norvel Pelle to PHI,-1206,-27113
