date,Transaction,single_value,value
1986-09-09 00:00:00,added Jerome Henderson to PHI,0,0
1986-09-09 00:00:00,added Jim Les to PHI,0,0
1986-09-29 00:00:00,lost Clemon Johnson to SEA,4803,4803
1986-09-29 00:00:00,lost Shawn Kemp to SEA,-31648,-26845
1986-09-29 00:00:00,added Tim McCormick to PHI,-6411,-33257
1986-09-29 00:00:00,added Danny Vranes to PHI,-3436,-36693
1986-11-25 00:00:00,added Jim Lampley to PHI,-89,-36783
1986-12-30 00:00:00,added World B. Free to PHI,-2451,-39234
1986-12-31 00:00:00,lost Sedale Threatt to CHI,740,-38494
1986-12-31 00:00:00,added Steve Colter to PHI,-917,-39411
1986-12-31 00:00:00,added Stanley Brundy to PHI,0,-39411
1987-03-04 00:00:00,added Mark McNamara to PHI,-3279,-42690
1987-05-19 00:00:00,added Claude Gregory to PHI,0,-42690
1987-06-01 00:00:00,added Jim Les to PHI,0,-42690
1987-06-22 00:00:00,added Chris Welp to PHI,-4265,-46956
1987-06-22 00:00:00,added Vincent Askew to PHI,-655,-47611
1987-06-22 00:00:00,added Andrew Kennedy to PHI,0,-47611
1987-06-22 00:00:00,added Hansi Gnad to PHI,0,-47611
1987-06-22 00:00:00,added Eric Riggins to PHI,0,-47611
1987-06-22 00:00:00,added Brian Rahilly to PHI,0,-47611
1987-06-22 00:00:00,added Frank Ross to PHI,0,-47611
1987-06-22 00:00:00,added Tracy Foster to PHI,0,-47611
1987-06-22 00:00:00,added Eric Semisch to PHI,0,-47611
1987-11-24 00:00:00,added Albert King to PHI,-8602,-56214
1987-12-03 00:00:00,added Gerald Henderson to PHI,-4134,-60348
1987-12-19 00:00:00,added Bob Thornton to PHI,-8516,-68865
1988-01-16 00:00:00,lost Roy Hinson to NJN,7376,-61488
1988-01-16 00:00:00,lost Tim McCormick to NJN,1513,-59975
1988-01-16 00:00:00,lost Stanley Brundy to NJN,396,-59579
1988-01-16 00:00:00,added Ben Coleman to PHI,-6051,-65630
1988-01-16 00:00:00,added Mike Gminski to PHI,610,-65020
1988-03-03 00:00:00,added Dave Henderson to PHI,-2492,-67512
1988-06-28 00:00:00,added Charles Smith to PHI,0,-67512
1988-06-28 00:00:00,added Everette Stephens to PHI,0,-67512
1988-06-28 00:00:00,added Hernán Montenegro to PHI,0,-67512
1988-06-28 00:00:00,lost Charles Smith to LAC,-6848,-74360
1988-06-28 00:00:00,added Hersey Hawkins to PHI,27171,-47189
1988-06-28 00:00:00,added Kenny Payne to PHI,0,-47189
1988-08-24 00:00:00,lost Albert King to SAS,3243,-43946
1988-08-24 00:00:00,added Pete Myers to PHI,-128,-44074
1988-09-23 00:00:00,added Scott Brooks to PHI,2523,-41550
1988-10-04 00:00:00,lost Everette Stephens to IND,1170,-40380
1988-10-04 00:00:00,added Ron Anderson to PHI,-18149,-58530
1989-01-05 00:00:00,added Shelton Jones to PHI,0,-58530
1989-01-25 00:00:00,added Shelton Jones to PHI,-1961,-60491
1989-02-13 00:00:00,added Derek Smith to PHI,-2657,-63149
1989-04-20 00:00:00,added Jim Rowinski to PHI,0,-63149
1989-06-27 00:00:00,added Kenny Payne to PHI,-5701,-68850
1989-06-27 00:00:00,added Reggie Cross to PHI,0,-68850
1989-06-27 00:00:00,added Toney Mack to PHI,0,-68850
1989-08-11 00:00:00,added Lanard Copeland to PHI,-1144,-69994
1989-08-28 00:00:00,lost Maurice Cheeks to SAS,-2295,-72290
1989-08-28 00:00:00,lost Chris Welp to SAS,896,-71394
1989-08-28 00:00:00,lost David Wingate to SAS,5463,-65931
1989-08-28 00:00:00,added Johnny Dawkins to PHI,-6539,-72470
1989-08-28 00:00:00,added Jay Vincent to PHI,-569,-73040
1989-10-23 00:00:00,added Kurt Nimphius to PHI,-1789,-74830
1989-10-27 00:00:00,lost Gerald Glass to MIN,5813,-69016
1989-10-27 00:00:00,lost Duane Cooper to MIN,0,-69016
1989-10-27 00:00:00,added Rick Mahorn to PHI,-6007,-75024
1989-11-27 00:00:00,added Dexter Shouse to PHI,-216,-75240
1990-01-01 00:00:00,added Corey Gaines to PHI,-1467,-76707
1990-01-15 00:00:00,added Lewis Lloyd to PHI,-273,-76980
1990-06-25 00:00:00,,0,-76980
