date,Transaction,single_value,value
2020-11-18 00:00:00,added Patrick Williams to CHI,0,0
2020-11-18 00:00:00,added Marko Simonovic to CHI,0,0
2020-11-19 00:00:00,added Devon Dotson to CHI,105,105
2020-11-21 00:00:00,added Patrick Williams to CHI,-8412,-8307
2020-11-21 00:00:00,added Denzel Valentine to CHI,-2797,-11104
2020-11-22 00:00:00,added Adam Mokoka to CHI,-520,-11625
2020-11-27 00:00:00,added Zach Norvell to CHI,0,-11625
2020-11-27 00:00:00,added Noah Vonleh to CHI,0,-11625
2020-11-27 00:00:00,added Garrett Temple to CHI,-4736,-16361
2021-03-25 00:00:00,lost Wendell Carter Jr. to ORL,-3662,-20024
2021-03-25 00:00:00,lost Otto Porter to ORL,112,-19911
2021-03-25 00:00:00,lost Franz Wagner to ORL,1961,-17950
2021-03-25 00:00:00,lost Jett Howard to ORL,0,-17950
2021-03-25 00:00:00,added Al-Farouq Aminu to CHI,-489,-18439
2021-03-25 00:00:00,added Nikola Vučević to CHI,13321,-5118
2021-03-25 00:00:00,lost Daniel Gafford to WAS,-5546,-10664
2021-03-25 00:00:00,lost Chandler Hutchison to WAS,1269,-9395
2021-03-25 00:00:00,lost Luke Kornet to BOS,-1211,-10606
2021-03-25 00:00:00,added Javonte Green to CHI,-76,-10683
2021-03-25 00:00:00,added Daniel Theis to CHI,-401,-11085
2021-03-25 00:00:00,added Troy Brown Jr. to CHI,-2420,-13505
2021-07-29 00:00:00,added Ayo Dosunmu to CHI,0,-13505
2021-08-07 00:00:00,lost Daniel Theis to HOU,1985,-11519
2021-08-07 00:00:00,added Daniel Theis to CHI,0,-11519
2021-08-08 00:00:00,lost Tomáš Satoranský to NOP,2693,-8826
2021-08-08 00:00:00,lost Garrett Temple to NOP,2907,-5919
2021-08-08 00:00:00,added Lonzo Ball to CHI,3030,-2889
2021-08-08 00:00:00,added Garrett Temple to CHI,0,-2889
2021-08-10 00:00:00,added Alex Caruso to CHI,1961,-927
2021-08-11 00:00:00,added Tony Bradley to CHI,-826,-1753
2021-08-11 00:00:00,lost Al-Farouq Aminu to SAS,0,-1753
2021-08-11 00:00:00,lost Thaddeus Young to SAS,-888,-2641
2021-08-11 00:00:00,lost Kennedy Chandler to SAS,0,-2641
2021-08-11 00:00:00,added DeMar DeRozan to CHI,12221,9579
2021-08-11 00:00:00,added Javonte Green to CHI,823,10403
2021-08-12 00:00:00,added Ayo Dosunmu to CHI,-9465,938
2021-08-12 00:00:00,added Marko Simonovic to CHI,-676,261
2021-08-13 00:00:00,added Devon Dotson to CHI,-416,-154
2021-08-28 00:00:00,added Lauri Markkanen to CHI,0,-154
2021-08-28 00:00:00,lost Lauri Markkanen to CLE,-751,-905
2021-08-28 00:00:00,added Derrick Jones Jr. to CHI,-809,-1714
2021-09-04 00:00:00,added Matt Thomas to CHI,-1193,-2908
2021-09-06 00:00:00,added Alize Johnson to CHI,-484,-3392
2021-09-06 00:00:00,added Stanley Johnson to CHI,0,-3392
2021-09-06 00:00:00,added Ethan Thompson to CHI,0,-3392
2021-09-07 00:00:00,added Tyler Cook to CHI,0,-3392
2021-09-26 00:00:00,added Daniel Oturu to CHI,0,-3392
2021-10-12 00:00:00,added Bryce Alford to CHI,0,-3392
2021-10-15 00:00:00,added Troy Baxter Jr. to CHI,0,-3392
2021-10-16 00:00:00,added Tyler Cook to CHI,-819,-4212
2021-12-10 00:00:00,added Alfonzo McKinnie to CHI,0,-4212
2021-12-10 00:00:00,added Stanley Johnson to CHI,0,-4212
2021-12-22 00:00:00,added Mac McClung to CHI,-45,-4258
2021-12-22 00:00:00,added Ersan Ilyasova to CHI,0,-4258
2021-12-26 00:00:00,added Alfonzo McKinnie to CHI,-1854,-6112
2021-12-30 00:00:00,added Jordan Bell to CHI,5,-6106
2022-01-14 00:00:00,added Malcolm Hill to CHI,0,-6106
2022-01-19 00:00:00,added Malcolm Hill to CHI,-514,-6621
2022-02-19 00:00:00,added Tristan Thompson to CHI,-639,-7260
2022-06-23 00:00:00,added Dalen Terry to CHI,0,-7260
2022-07-06 00:00:00,added Derrick Jones Jr. to CHI,-357,-7617
2022-07-06 00:00:00,added Andre Drummond to CHI,-679,-8296
2022-07-07 00:00:00,added Justin Lewis to CHI,0,-8296
2022-07-07 00:00:00,added Dalen Terry to CHI,0,-8296
2022-07-07 00:00:00,added Zach LaVine to CHI,5259,-3037
2022-08-02 00:00:00,added Goran Dragic to CHI,-2911,-5949
2022-08-16 00:00:00,added Carlik Jones to CHI,0,-5949
2022-09-07 00:00:00,added Malcolm Hill to CHI,21,-5928
2022-09-25 00:00:00,added Kostas Antetokounmpo to CHI,0,-5928
2022-10-10 00:00:00,added Henri Drell to CHI,0,-5928
2022-10-12 00:00:00,added Ethan Thompson to CHI,0,-5928
2022-10-12 00:00:00,added Okaro White to CHI,0,-5928
2022-10-14 00:00:00,added Kostas Antetokounmpo to CHI,0,-5928
2022-12-16 00:00:00,added Carlik Jones to CHI,-140,-6068
2023-02-21 00:00:00,added Terry Taylor to CHI,133,-5934
2023-02-21 00:00:00,added Patrick Beverley to CHI,-121,-6055
2023-03-06 00:00:00,added Justin Lewis to CHI,0,-6055
2023-06-28 00:00:00,added Julian Phillips to CHI,0,-6055
2023-06-28 00:00:00,lost future 2nd round pick to WAS,0,-6055
2023-06-28 00:00:00,lost future 2nd round pick to WAS,0,-6055
2023-07-07 00:00:00,added Coby White to CHI,0,-6055
2023-07-10 00:00:00,added Adama Sanogo to CHI,0,-6055
2023-07-10 00:00:00,added Jevon Carter to CHI,0,-6055
2023-07-12 00:00:00,added Julian Phillips to CHI,0,-6055
2023-07-15 00:00:00,added Torrey Craig to CHI,0,-6055
2023-07-22 00:00:00,added Ayo Dosunmu to CHI,0,-6055
2023-07-24 00:00:00,added Onuralp Bitim to CHI,0,-6055
2023-08-14 00:00:00,added Terry Taylor to CHI,0,-6055
2023-12-16 00:00:00,added Henri Drell to CHI,0,-6055
