,date,Transaction,value,Running Score
1,2013-06-27,added Trey Burke to MIN,0,0
2,2013-06-27,added Andre Roberson to MIN,0,0
3,2013-06-27,added Lorenzo Brown to MIN,0,0
4,2013-06-27,added Bojan Dubljević to MIN,0,0
5,2013-06-27,lost Trey Burke to UTA,9767,9767
6,2013-06-27,added Gorgui Dieng to MIN,1735,11502
7,2013-06-27,added Shabazz Muhammad to MIN,0,11502
8,2013-06-27,lost Malcolm Lee to GSW,0,11502
9,2013-06-27,lost Andre Roberson to GSW,0,11502
10,2013-06-27,added Alessandro Gentile to MIN,0,11502
11,2013-07-11,lost Luke Ridnour to MIL,3357,14860
12,2013-07-11,lost Johnny O'Bryant to MIL,8552,23412
13,2013-07-11,added Kevin Martin to MIN,-2927,20485
14,2013-07-12,added Corey Brewer to MIN,-1065,19419
15,2013-07-12,added Chase Budinger to MIN,-4192,15227
16,2013-07-12,added Shabazz Muhammad to MIN,-10318,4909
17,2013-07-18,added Ronny Turiaf to MIN,242,5151
18,2013-11-26,lost Derrick Williams to SAC,6074,11225
19,2013-11-26,added Luc Mbah a Moute to MIN,-2905,8320
20,2014-04-08,added Othyus Jeffers to MIN,-119,8200
21,2014-06-26,added Zach LaVine to MIN,0,8200
22,2014-06-26,added Glenn Robinson III to MIN,0,8200
23,2014-06-26,added Markel Brown to MIN,0,8200
24,2014-06-26,added Alessandro Gentile to MIN,0,8200
25,2014-06-26,lost Alessandro Gentile to HOU,0,8200
26,2014-06-27,lost Markel Brown to BRK,4976,13177
27,2014-07-07,added Zach LaVine to MIN,-12015,1162
28,2014-07-23,added Robbie Hummel to MIN,-3042,-1880
29,2014-07-30,added Mo Williams to MIN,-2527,-4407
30,2014-08-23,lost Luc Mbah a Moute to PHI,5364,956
31,2014-08-23,lost Alexey Shved to PHI,-769,187
32,2014-08-23,lost Kevin Love to CLE,-37338,-37151
33,2014-08-23,added Anthony Bennett to MIN,-3486,-40638
34,2014-08-23,added Andrew Wiggins to MIN,-31366,-72004
35,2014-08-23,added Thaddeus Young to MIN,-802,-72807
36,2014-09-17,added Glenn Robinson III to MIN,-583,-73390
37,2014-09-18,added Brady Heslip to MIN,0,-73390
38,2014-09-18,added Kyrylo Fesenko to MIN,0,-73390
39,2014-11-29,added Jeff Adrien to MIN,-516,-73906
40,2014-12-19,lost Ronny Turiaf to PHI,0,-73906
41,2014-12-19,lost Corey Brewer to HOU,9526,-64380
42,2014-12-19,added Troy Daniels to MIN,-893,-65273
43,2014-12-19,added Rakeem Christmas to MIN,0,-65273
44,2015-01-08,added Miroslav Raduljica to MIN,-345,-65618
45,2015-01-27,added Lorenzo Brown to MIN,0,-65618
46,2015-02-10,lost Troy Daniels to CHO,-630,-66248
47,2015-02-10,lost Mo Williams to CHO,-914,-67162
48,2015-02-10,added Gary Neal to MIN,-131,-67293
49,2015-02-10,added Jaylen Nowell to MIN,-5049,-72342
50,2015-02-10,lost Kevin Huerter to ATL,10994,-61348
51,2015-02-10,added Adreian Payne to MIN,-8219,-69567
52,2015-02-19,lost Thaddeus Young to BRK,-414,-69982
53,2015-02-19,added Kevin Garnett to MIN,421,-69560
54,2015-02-19,added Lorenzo Brown to MIN,-1372,-70933
55,2015-03-19,added Sean Kilpatrick to MIN,-158,-71091
56,2015-04-07,added Arinze Onuaku to MIN,95,-70996
57,2015-06-25,added Karl-Anthony Towns to MIN,0,-70996
58,2015-06-25,added Cedi Osman to MIN,0,-70996
59,2015-06-25,added Rakeem Christmas to MIN,0,-70996
60,2015-06-25,lost Rakeem Christmas to CLE,0,-70996
61,2015-06-25,lost Cedi Osman to CLE,20358,-50637
62,2015-06-25,lost Justin James to CLE,0,-50637
63,2015-06-25,added Tyus Jones to MIN,0,-50637
64,2015-07-07,added Tyus Jones to MIN,-982,-51620
65,2015-07-07,added Karl-Anthony Towns to MIN,82282,30661
66,2015-07-11,added Kevin Garnett to MIN,834,31495
67,2015-07-11,lost Chase Budinger to IND,510,32005
68,2015-07-11,added Damjan Rudež to MIN,-1329,30676
69,2015-07-13,added Nemanja Bjelica to MIN,-2519,28156
70,2015-08-03,added Andre Miller to MIN,-616,27540
71,2015-08-20,added Tayshaun Prince to MIN,-4386,23154
72,2015-09-16,added Kleon Penn to MIN,0,23154
73,2015-09-17,added Nick Wiggins to MIN,0,23154
