date,Transaction,single_value,value
2007-06-28 00:00:00,added Rudy Fernández to PHO,0.0,0
2007-06-28 00:00:00,added Alando Tucker to PHO,-1679.1,-1679
2007-06-28 00:00:00,added D.J. Strawberry to PHO,-1512.0,-3191
2007-07-11 00:00:00,added Grant Hill to PHO,4080.1,888
2007-07-11 00:00:00,lost Rudy Fernández to POR,-9779.4,-8890
2007-07-11 00:00:00,lost James Jones to POR,-1658.8,-10549
2007-07-20 00:00:00,lost Kurt Thomas to SEA,-848.0,-11397
2007-07-20 00:00:00,lost Serge Ibaka to SEA,-0.0,-11397
2007-07-20 00:00:00,lost Quincy Pondexter to SEA,-0.0,-11397
2007-07-20 00:00:00,added Emir Preldžić to PHO,0.0,-11397
2007-10-01 00:00:00,added Richie Frahm to PHO,0.0,-11397
2007-10-01 00:00:00,added Brian Skinner to PHO,-2532.0,-13929
2008-02-06 00:00:00,lost Marcus Banks to MIA,488.7000000000001,-13440
2008-02-06 00:00:00,lost Shawn Marion to MIA,-365.6,-13806
2008-02-06 00:00:00,added Shaquille O'Neal to PHO,3346.6000000000004,-10459
2008-02-22 00:00:00,added Linton Johnson to PHO,0.0,-10459
2008-03-24 00:00:00,added Gordan Giriček to PHO,-1016.6,-11476
2008-04-16 00:00:00,added Linton Johnson to PHO,-222.6,-11698
2008-06-26 00:00:00,added Robin Lopez to PHO,-8711.3,-20410
2008-06-26 00:00:00,added Malik Hairston to PHO,0.0,-20410
2008-06-28 00:00:00,lost Malik Hairston to SAS,912.3,-19497
2008-06-28 00:00:00,lost DeJuan Blair to SAS,3683.3,-15814
2008-06-28 00:00:00,added Goran Dragić to PHO,8209.899999999998,-7604
2008-07-22 00:00:00,added Matt Barnes to PHO,-832.8000000000001,-8437
2008-08-14 00:00:00,added Lou Amundson to PHO,-3894.8,-12332
2008-08-25 00:00:00,lost D.J. Strawberry to HOU,-0.0,-12332
2008-08-25 00:00:00,added Sean Singletary to PHO,-463.6,-12795
2008-12-10 00:00:00,lost Raja Bell to CHA,1210.5,-11585
2008-12-10 00:00:00,lost Boris Diaw to CHA,-4465.200000000001,-16050
2008-12-10 00:00:00,lost Sean Singletary to CHA,1086.0,-14964
2008-12-10 00:00:00,added Jared Dudley to PHO,9118.9,-5845
2008-12-10 00:00:00,added Jason Richardson to PHO,7880.499999999999,2034
2008-12-10 00:00:00,added Gani Lawal to PHO,-30.0,2004
2008-12-24 00:00:00,added Dee Brown to PHO,-330.40000000000003,1674
2009-01-20 00:00:00,added Courtney Sims to PHO,-57.6,1616
2009-03-04 00:00:00,added Stromile Swift to PHO,-1161.6,455
2009-06-25 00:00:00,added Earl Clark to PHO,-2344.1,-1888
2009-06-25 00:00:00,added Taylor Griffin to PHO,-259.2,-2147
2009-06-25 00:00:00,added Emir Preldžić to PHO,0.0,-2147
2009-06-26 00:00:00,lost Shaquille O'Neal to CLE,248.0,-1899
2009-06-26 00:00:00,added Sasha Pavlović to PHO,0.0,-1899
2009-06-26 00:00:00,added Ben Wallace to PHO,0.0,-1899
2009-06-26 00:00:00,added Dwayne Collins to PHO,0.0,-1899
2009-06-26 00:00:00,lost Emir Preldžić to CLE,-0.0,-1899
2009-07-14 00:00:00,added Channing Frye to PHO,8271.2,6371
2009-12-29 00:00:00,lost Alando Tucker to MIN,237.5,6608
2009-12-29 00:00:00,lost Hamady N'Diaye to MIN,-0.0,6608
2009-12-29 00:00:00,added Jason Hart to PHO,0.0,6608
2010-04-05 00:00:00,added Dwayne Jones to PHO,0.0,6608
2010-04-05 00:00:00,added Dwayne Jones to PHO,-30.800000000000004,6577
