date,Transaction,single_value,value
1969-09-02,lost Bob Kauffman to PHI,0,0
1969-09-02,lost Jim Washington to PHI,0,0
1969-09-02,added Shaler Halimon to CHI,0,0
1969-09-02,added Chet Walker to CHI,13048,13048
1969-09-05,lost Bob Boozer to SEA,0,13048
1969-09-05,lost Barry Clemens to SEA,0,13048
1969-09-05,added Bob Kauffman to CHI,0,13048
1969-09-05,added Clifford Ray to CHI,0,13048
1969-09-09,lost Mike Lynn to LAL,0,13048
1969-09-09,added Mike Gale to CHI,0,13048
1969-10-12,lost Dave Newmark to CIN,0,13048
1969-10-12,lost Norm Van Lier to CIN,0,13048
1969-10-12,added Walt Wesley to CHI,0,13048
1970-01-05,lost Al Tucker to BAL,0,13048
1970-01-05,added Ed Manning to CHI,0,13048
1970-03-23,added Jimmy Collins to CHI,0,13048
1970-03-23,added Paul Ruffner to CHI,0,13048
1970-03-23,added Lou Herndon to CHI,0,13048
1970-03-23,added John Davis to CHI,0,13048
1970-03-23,added Jimmy Wilson to CHI,0,13048
1970-03-23,added George Johnson to CHI,0,13048
1970-03-23,added Lonnie Kluttz to CHI,0,13048
1970-03-23,added Lou West to CHI,0,13048
1970-03-23,added Mike Casey to CHI,0,13048
1970-03-23,added Glen Johnson to CHI,0,13048
1970-03-23,added Dale Blaut to CHI,0,13048
1970-03-23,added Doug Howard to CHI,0,13048
1970-03-23,added Booker Brown to CHI,0,13048
1970-03-23,added Charles Bloodworth to CHI,0,13048
1970-03-23,added Paul Funkhouser to CHI,0,13048
1970-03-23,added Bill Otey to CHI,0,13048
1970-04-23,lost Clem Haskins to PHO,-364,12684
1970-04-23,added Jim Fox to CHI,0,12684
1970-04-23,added Howard Porter to CHI,0,12684
1970-09-15,added A.W. Holt to CHI,0,12684
1970-10-13,added Jim King to CHI,0,12684
1970-10-16,added Matt Guokas to CHI,-3118,9565
1970-10-20,lost Shaler Halimon to POR,0,9565
1970-10-20,added Willie Sojourner to CHI,0,9565
1971-03-29,added Kenny McIntosh to CHI,0,9565
1971-03-29,added Willie Sojourner to CHI,0,9565
1971-03-29,added Howard Porter to CHI,0,9565
1971-03-29,added Clifford Ray to CHI,8422,17988
1971-03-29,added Mike Gale to CHI,0,17988
1971-03-29,added Dick Gibbs to CHI,0,17988
1971-03-29,added Jim Irving to CHI,0,17988
1971-03-29,added Larry Weatherford to CHI,0,17988
1971-03-29,added Jim England to CHI,0,17988
1971-03-29,added Artis Gilmore to CHI,64597,82585
1971-03-29,added Clarence Sherrod to CHI,0,82585
1971-03-29,added Jackie Dinkins to CHI,0,82585
1971-03-29,added David Withers to CHI,0,82585
1971-03-29,added Al Smith to CHI,0,82585
1971-03-29,added Ken Riley to CHI,0,82585
1971-03-29,added Ed Goode to CHI,0,82585
