date,Transaction,single_value,value
1987-06-21,lost Scott Skiles to IND,5862.7,5862
1987-06-21,added Gary Leonard to MIL,0.0,5862
1987-06-22,added Bob McCann to MIL,0.0,5862
1987-06-22,added Winston Garland to MIL,0.0,5862
1987-06-22,added J. J. Weber to MIL,0.0,5862
1987-06-22,added Darryl Bedford to MIL,0.0,5862
1987-06-22,added Brian Vaughns to MIL,0.0,5862
1987-06-22,added Gay Elmore to MIL,0.0,5862
1987-10-08,added Pace Mannion to MIL,-1240.2,4622
1987-10-08,added John Stroeder to MIL,-1653.1,2969
1987-11-13,added Rickie Winslow to MIL,-666.0,2303
1987-11-18,lost Charles Davis to SAS,1009.8,3313
1987-11-18,lost Reggie Turner to SAS,-0.0,3313
1987-11-18,added Larry Krystkowiak to MIL,-14757.3,-11444
1987-12-05,added Conner Henry to MIL,-594.5,-12038
1987-12-11,added Andre Moore to MIL,-84.8,-12123
1987-12-29,lost Don Nelson to GSW,-0.0,-12123
1987-12-29,added Andrew Lang to MIL,-4910.4,-17033
1988-01-12,added Dave Hoppen to MIL,-252.0,-17285
1988-02-25,lost Craig Hodges to PHO,119.2,-17166
1988-02-25,lost Andrew Lang to PHO,-2808.7,-19975
1988-02-25,added Jay Humphries to MIL,14261.7,-5713
1988-05-19,added Mark Davis to MIL,0.0,-5713
1988-06-23,lost Scott Haffner to MIA,2850.9,-2862
1988-06-23,added Fred Roberts to MIL,-11394.1,-14256
1988-06-28,added Jeff Grayer to MIL,-10433.4,-24690
1988-06-28,added Tito Horford to MIL,-3408.4,-28098
1988-06-28,added Mike Jones to MIL,0.0,-28098
1988-10-04,lost Jerry Reynolds to SEA,-1105.5,-29204
1988-10-04,added Steve Henson to MIL,0.0,-29204
1988-10-19,added Jim Les to MIL,0.0,-29204
1989-01-03,added Andre Turner to MIL,-144.29999999999998,-29348
1989-01-15,added Mark Davis to MIL,0.0,-29348
1989-01-26,added Mark Davis to MIL,-50.2,-29398
1989-02-07,added Tony Brown to MIL,0.0,-29398
1989-02-28,added Tony Brown to MIL,-2821.4,-32220
1989-03-01,added Rickey Green to MIL,701.4,-31518
1989-05-28,lost Terry Cummings to SAS,3534.300000000001,-27984
1989-05-28,lost Tony Massenburg to SAS,4552.400000000001,-23431
1989-05-28,added Greg Anderson to MIL,-6857.1,-30288
1989-05-28,added Alvin Robertson to MIL,26053.3,-4235
1989-05-28,added Frank Kornet to MIL,0.0,-4235
1989-06-15,lost Gary Leonard to MIN,1066.8,-3168
1989-06-27,added Frank Kornet to MIL,-3696.4,-6865
1989-10-06,added Gerald Henderson to MIL,-283.8,-7149
1989-10-06,added Delaney Rudd to MIL,0.0,-7149
1989-10-18,added Ben Coleman to MIL,-1250.5,-8399
1989-10-26,lost Eric Riley to DAL,2393.6000000000004,-6005
1989-10-26,added Pat Durham to MIL,0.0,-6005
1990-01-04,lost Randy Breuer to MIN,5761.8,-244
1990-01-04,lost Chris Smith to MIN,9013.3,8769
1990-01-04,added Brad Lohaus to MIL,-472.2999999999997,8296
1990-01-04,added Duane Cooper to MIL,0.0,8296
1990-02-27,added Jerry Sichting to MIL,-305.1,7991
1990-06-27,added Terry Mills to MIL,0.0,7991
1990-06-27,added Steve Henson to MIL,-2223.4,5768
1990-08-01,lost Paul Pressey to SAS,1838.1,7606
1990-08-01,added Frank Brickowski to MIL,-2615.7,4990
1990-08-01,lost Terry Mills to DEN,669.6,5660
1990-08-01,added Danny Schayes to MIL,-9246.8,-3586
1991-01-16,lost Greg Anderson to NJN,-172.79999999999998,-3759
1991-01-16,added Lester Conner to MIL,2468.8,-1290
1991-02-15,lost Ricky Pierce to SEA,-11864.4,-13154
1991-02-15,added Dale Ellis to MIL,1423.1,-11731
1991-02-27,added Everette Stephens to MIL,147.60000000000002,-11584
1991-04-02,added Adrian Dantley to MIL,-529.2,-12113
1991-06-26,added Kevin Brooks to MIL,0.0,-12113
1991-06-26,added Bobby Phills to MIL,0.0,-12113
1991-07-01,lost Kevin Brooks to DEN,6047.6,-6065
1991-07-01,lost Rodney Dent to DEN,-0.0,-6065
1991-07-01,added Anthony Avent to MIL,-15556.0,-21621
1991-07-10,added Moses Malone to MIL,-81.69999999999999,-21703
1991-09-20,added Michael Ansley to MIL,0.0,-21703
1991-10-05,added Billy Thompson to MIL,0.0,-21703
1992-02-13,added Jerome Lane to MIL,-4.199999999999999,-21707
1992-03-04,added Dave Popson to MIL,-161.20000000000002,-21868
