,Transaction Date,Transaction,Score,Running Score
1,2011-06-23 00:00:00,added Nolan Smith to POR,-4962,-4962
2,2011-06-23 00:00:00,added Jon Diebler to POR,0,-4962
3,2011-06-23 00:00:00,lost Jordan Hamilton to DEN,-1455,-6417
4,2011-06-23 00:00:00,lost Andre Miller to DEN,-1849,-8267
5,2011-06-23 00:00:00,lost Devyn Marble to DEN,0,-8267
6,2011-06-23 00:00:00,lost Rudy Fernández to DAL,0,-8267
7,2011-06-23 00:00:00,lost Petteri Koponen to DAL,0,-8267
8,2011-06-23 00:00:00,added Jordan Hamilton to POR,0,-8267
9,2011-06-23 00:00:00,added Raymond Felton to POR,-2859,-11126
10,2011-06-27 00:00:00,added Richaun Holmes to POR,0,-11126
11,2011-12-11 00:00:00,added Kurt Thomas to POR,-1525,-12651
12,2011-12-15 00:00:00,added Jamal Crawford to POR,-322,-12974
13,2011-12-15 00:00:00,added Craig Smith to POR,-696,-13670
14,2012-02-27 00:00:00,added Joel Przybilla to POR,-2469,-16139
15,2012-03-15 00:00:00,lost Gerald Wallace to NJN,-2198,-18337
16,2012-03-15 00:00:00,added Mehmet Okur to POR,0,-18337
17,2012-03-15 00:00:00,added Shawne Williams to POR,0,-18337
18,2012-03-15 00:00:00,added Damian Lillard to POR,136722,118384
19,2012-03-15 00:00:00,lost Marcus Camby to HOU,-1603,116781
20,2012-03-15 00:00:00,added Jonny Flynn to POR,-1180,115601
21,2012-03-15 00:00:00,added Hasheem Thabeet to POR,-603,114998
22,2012-03-15 00:00:00,added Will Barton to POR,-5605,109392
23,2012-03-21 00:00:00,added J.J. Hickson to POR,284,109677
