,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
5,Aaron Brooks,added Aaron Brooks to HOU,-3640.0,2.6999999999999997,2007-06-28 00:00:00,1,HOU,/players/b/brookaa01.html,2.0,draft,-3640.0,2.6999999999999997,0.0,0.0,False,-3640.0,2.6999999999999997,-5197.3,2.5999999999999996,7,-10,26,26,-16126.8,2.7,-2125.2829787234045,2.621276595744681
78,Patrick Patterson,added Patrick Patterson to HOU,-3796.4999999999995,0.8999999999999999,2010-06-24 00:00:00,1,HOU,/players/p/pattepa01.html,39.0,draft,-3796.4999999999995,0.8999999999999999,0.0,0.0,False,-3796.4999999999995,0.8999999999999999,18007.299999999996,17.4,5,2,14,14,0.0,7.4,458.98269230769256,5.673076923076923
100,Marcus Morris,added Marcus Morris to HOU,-2556.6000000000004,0.0,2011-06-23 00:00:00,1,HOU,/players/m/morrima03.html,53.0,draft,-2556.6000000000004,0.0,0.0,0.0,False,-2556.6000000000004,0.0,24122.59999999999,19.59999999999999,-1,-30,14,14,-17674.4,6.7,458.98269230769256,5.673076923076923
102,Chandler Parsons,added Chandler Parsons to HOU,11690.3,6.699999999999999,2011-06-23 00:00:00,1,HOU,/players/p/parsoch01.html,53.0,draft,11690.3,6.699999999999999,0.0,0.0,False,11690.3,6.699999999999999,35812.899999999994,26.29999999999999,28,29,38,38,14570.6,10.2,-4376.612195121951,1.1585365853658536
137,Terrence Jones,added Terrence Jones to HOU,3915.2000000000003,3.2,2012-06-28 00:00:00,1,HOU,/players/j/joneste01.html,67.0,draft,3759.7000000000003,3.2,0.0,0.0,False,3915.2000000000003,3.2,64549.499999999985,34.8,3,9,18,18,2781.0,3.6,-2208.129411764706,4.674509803921569
179,Isaiah Canaan,added Isaiah Canaan to HOU,0.0,0.0,2013-06-27 00:00:00,1,HOU,/players/c/canaais01.html,83.0,draft,-1223.1999999999998,0.1,0.0,0.0,False,0.0,0.0,58347.29999999997,22.399999999999995,-12,-4,34,34,-11517.6,-0.5,-3950.7720930232563,0.8837209302325582
199,Clint Capela,added Clint Capela to HOU,0.0,0.0,2014-06-26 00:00:00,1,HOU,/players/c/capelca01.html,97.0,draft,16240.0,8.4,0.0,0.0,False,0.0,0.0,66888.59999999999,27.899999999999995,21,22,25,25,27844.800000000003,15.9,-457.34705882352927,3.282352941176471
200,Nick Johnson,added Nick Johnson to HOU,0.0,0.0,2014-06-26 00:00:00,1,HOU,/players/j/johnsni01.html,97.0,draft,-1703.0,-0.3,0.0,0.0,False,0.0,0.0,66888.59999999999,27.899999999999995,6,23,42,42,-1703.0,-0.3,-5933.181818181818,1.012121212121212
241,Sam Dekker,added Sam Dekker to HOU,0.0,0.0,2015-06-25 00:00:00,1,HOU,/players/d/dekkesa01.html,117.0,draft,-270.6,0.6,0.0,0.0,False,0.0,0.0,86247.79999999999,36.59999999999999,-6,-8,18,18,-4335.799999999999,0.5,-2208.129411764706,4.674509803921569
242,Montrezl Harrell,added Montrezl Harrell to HOU,0.0,0.0,2015-06-25 00:00:00,1,HOU,/players/h/harremo01.html,117.0,draft,836.6,0.9,0.0,0.0,False,0.0,0.0,86247.79999999999,36.59999999999999,26,29,32,32,27414.4,12.2,-2577.223404255319,1.325531914893617
269,Chinanu Onuaku,added Chinanu Onuaku to HOU,0.0,0.0,2016-06-23 00:00:00,1,HOU,/players/o/onuakch01.html,139.0,draft,-401.4,-0.1,0.0,0.0,False,0.0,0.0,75911.69999999998,39.39999999999999,6,18,37,37,-399.6,-0.1,-5676.155555555555,0.9622222222222222
270,Zhou Qi,added Zhou Qi to HOU,0.0,0.0,2016-06-23 00:00:00,1,HOU,/players/q/qizh01.html,139.0,draft,-1200.3999999999999,-0.3,0.0,0.0,False,0.0,0.0,75911.69999999998,39.39999999999999,5,19,43,43,-1200.0,-0.2,-3942.1658536585364,1.5317073170731708
296,Isaiah Hartenstein,added Isaiah Hartenstein to HOU,0.0,0.0,2017-06-22 00:00:00,1,HOU,/players/h/harteis01.html,160.0,draft,-782.1,0.1,0.0,0.0,False,0.0,0.0,183587.49999999997,77.0,32,37,43,43,15424.5,7.6,-3942.1658536585364,1.5317073170731708
297,Dillon Brooks,added Dillon Brooks to HOU,-11093.0,-0.4,2017-06-22 00:00:00,1,HOU,/players/b/brookdi01.html,160.0,draft,-11093.0,-0.4,0.0,0.0,False,-11093.0,-0.4,172494.49999999997,76.6,-12,-12,45,45,-49235.4,-5.0,-2571.505,2.71
