,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Harrison Barnes,added Harrison Barnes to GSW,-9447.8,1.8,2012-06-28 00:00:00,1,GSW,/players/b/barneha02.html,0.0,draft,-9447.8,1.8,0.0,0.0,False,-9447.8,1.8,-9447.8,1.8,-1,-51,7,7,-24823.2,9.1,7137.599999999999,10.9
2,Festus Ezeli,added Festus Ezeli to GSW,-4792.2,0.0,2012-06-28 00:00:00,1,GSW,/players/e/ezelife01.html,0.0,draft,-4792.2,0.0,0.0,0.0,False,-4792.2,0.0,-14240.0,1.8,1,-6,30,30,-4788.0,0.0,-3448.5,0.0
3,Draymond Green,added Draymond Green to GSW,8309.700000000004,4.900000000000002,2012-06-28 00:00:00,1,GSW,/players/g/greendr01.html,0.0,draft,58714.00000000001,27.700000000000003,0.0,0.0,False,8309.700000000004,4.900000000000002,-5930.299999999996,6.700000000000002,32,32,35,35,58148.6,27.6,-4376.0,-0.1
4,Ognjen Kuzmić,added Ognjen Kuzmić to GSW,-919.6,-0.2,2012-06-28 00:00:00,1,GSW,/players/k/kuzmiog01.html,0.0,draft,-919.6,-0.2,0.0,0.0,False,-919.6,-0.2,-6849.899999999996,6.500000000000002,11,32,52,52,-918.4,-0.2,-14688.0,-1.0
57,Kevon Looney,added Kevon Looney to GSW,0.0,0.0,2015-06-25 00:00:00,1,GSW,/players/l/looneke01.html,36.0,draft,3732.6000000000004,6.1,0.0,0.0,False,0.0,0.0,1366.7000000000012,10.700000000000003,18,20,30,30,4123.6,6.2,0.0,0.0
74,Damian Jones,added Damian Jones to GSW,0.0,0.0,2016-06-23 00:00:00,1,GSW,/players/j/jonesda03.html,50.0,draft,-1005.3999999999999,-5.551115123125783e-17,0.0,0.0,False,0.0,0.0,33060.30000000001,25.000000000000004,15,-8,30,30,-3782.0,1.0,-1860.3,0.0
113,Jacob Evans,added Jacob Evans to GSW,0.0,0.0,2018-06-21 00:00:00,1,GSW,/players/e/evansja02.html,88.0,draft,-4570.8,-0.8,0.0,0.0,False,0.0,0.0,58846.50000000001,44.2,-27,-9,28,28,-4602.8,-0.8,-1035.4,0.4
129,Jordan Poole,added Jordan Poole to GSW,0.0,0.0,2019-06-20 00:00:00,1,GSW,/players/p/poolejo01.html,103.0,draft,-11289.599999999999,0.6999999999999998,0.0,0.0,False,0.0,0.0,66432.6,50.400000000000006,6,-30,28,28,-19295.0,0.8,-1680.2,0.0
130,Eric Paschall,added Eric Paschall to GSW,0.0,0.0,2019-06-20 00:00:00,1,GSW,/players/p/pascher01.html,103.0,draft,-6342.3,-0.4,0.0,0.0,False,0.0,0.0,66432.6,50.400000000000006,6,3,41,41,-6789.200000000001,-0.1,-7389.900000000001,-0.2
185,James Wiseman,added James Wiseman to GSW,0.0,0.0,2020-11-18 00:00:00,1,GSW,/players/w/wisemja01.html,137.0,draft,-4625.4,-0.6,0.0,0.0,False,0.0,0.0,10188.800000000014,54.60000000000001,-54,-46,2,2,-10916.1,-1.4,22547.1,12.3
186,Nico Mannion,added Nico Mannion to GSW,0.0,0.0,2020-11-18 00:00:00,1,GSW,/players/m/mannini01.html,137.0,draft,-1419.6,-0.2,0.0,0.0,False,0.0,0.0,10188.800000000014,54.60000000000001,9,20,48,48,-1419.6,-0.2,-10916.1,-0.5
202,Jonathan Kuminga,added Jonathan Kuminga to GSW,0.0,0.0,2021-07-29 00:00:00,1,GSW,/players/k/kuminjo01.html,149.0,draft,-5490.4,1.4,0.0,0.0,False,0.0,0.0,5221.300000000013,54.00000000000001,-7,-37,7,7,-5672.0,1.4,7014.0,5.2
203,Moses Moody,added Moses Moody to GSW,0.0,0.0,2021-07-29 00:00:00,1,GSW,/players/m/moodymo01.html,149.0,draft,-5193.700000000001,0.8999999999999999,0.0,0.0,False,0.0,0.0,5221.300000000013,54.00000000000001,-7,-27,14,14,-5074.8,0.8,0.0,1.4
221,Patrick Baldwin Jr.,added Patrick Baldwin Jr. to GSW,0.0,0.0,2022-06-23 00:00:00,1,GSW,/players/b/baldwpa01.html,167.0,draft,-474.6,0.0,0.0,0.0,False,0.0,0.0,4425.200000000014,60.900000000000006,-9,-1,28,28,-2560.6,-0.2,-1890.2,0.0
223,Gui Santos,added Gui Santos to GSW,-1305.6000000000001,0.2,2022-06-23 00:00:00,1,GSW,/players/s/santogu01.html,167.0,draft,-1305.6000000000001,0.2,0.0,0.0,False,-1305.6000000000001,0.2,3119.600000000014,61.10000000000001,36,29,55,55,-1431.0,0.1,-14692.6,-1.5
