,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Alex Len,added Alex Len to PHO,0.0,0.0,2013-06-27 00:00:00,1,PHO,/players/l/lenal01.html,1.0,draft,-16121.399999999998,-0.6000000000000001,0.0,0.0,False,0.0,0.0,0.0,0.0,-20,-50,5,5,-22332.6,0.3,22556.399999999998,12.9
28,T.J. Warren,added T.J. Warren to PHO,0.0,0.0,2014-06-26 00:00:00,1,PHO,/players/w/warretj01.html,11.0,draft,-4462.099999999999,2.6,0.0,0.0,False,0.0,0.0,-17620.300000000003,-4.7,-2,-20,14,14,-4146.0,4.1,0.0,5.5
29,Tyler Ennis,added Tyler Ennis to PHO,0.0,0.0,2014-06-26 00:00:00,1,PHO,/players/e/ennisty01.html,11.0,draft,-104.4,0.0,0.0,0.0,False,0.0,0.0,-17620.300000000003,-4.7,-34,-26,18,18,-7942.4,-0.8,0.0,3.5
69,Devin Booker,added Devin Booker to PHO,0.0,0.0,2015-06-25 00:00:00,1,PHO,/players/b/bookede01.html,34.0,draft,24807.8,17.8,0.0,0.0,False,0.0,0.0,-21104.500000000004,-10.199999999999998,10,9,13,13,25463.9,17.9,514.9,6.0
101,Dragan Bender,added Dragan Bender to PHO,0.0,0.0,2016-06-23 00:00:00,1,PHO,/players/b/bendedr01.html,61.0,draft,-13969.300000000001,-1.8,0.0,0.0,False,0.0,0.0,-25983.500000000015,-10.899999999999995,-55,-53,4,4,-14644.5,-1.9,20643.0,12.6
104,Tyler Ulis,added Tyler Ulis to PHO,0.0,0.0,2016-06-23 00:00:00,1,PHO,/players/u/ulisty01.html,61.0,draft,-9990.400000000001,-1.1,0.0,0.0,False,0.0,0.0,-25983.500000000015,-10.899999999999995,-21,-17,34,34,-10015.2,-1.1,-2910.2000000000003,-0.1
130,Josh Jackson,added Josh Jackson to PHO,0.0,0.0,2017-06-22 00:00:00,1,PHO,/players/j/jacksjo02.html,79.0,draft,-17372.6,-2.4000000000000004,0.0,0.0,False,0.0,0.0,-55143.20000000002,-16.099999999999994,-53,-55,4,4,-25528.399999999998,-3.1,38450.4,17.7
131,Davon Reed,added Davon Reed to PHO,0.0,0.0,2017-06-22 00:00:00,1,PHO,/players/r/reedda01.html,79.0,draft,-1548.8000000000002,-0.3,0.0,0.0,False,0.0,0.0,-55143.20000000002,-16.099999999999994,-11,-3,32,32,-3767.1,-0.3,-2102.9,0.0
132,Alec Peters,added Alec Peters to PHO,0.0,0.0,2017-06-22 00:00:00,1,PHO,/players/p/peteral01.html,79.0,draft,-630.0,0.0,0.0,0.0,False,0.0,0.0,-55143.20000000002,-16.099999999999994,23,27,54,54,-630.0,0.0,-15962.1,-1.8
155,Deandre Ayton,added Deandre Ayton to PHO,0.0,0.0,2018-06-21 00:00:00,1,PHO,/players/a/aytonde01.html,101.0,draft,10096.9,7.199999999999999,0.0,0.0,False,0.0,0.0,-105321.80000000002,-24.19999999999999,-5,-9,1,1,9817.6,8.7,119411.2,38.2
157,Élie Okobo,added Élie Okobo to PHO,0.0,0.0,2018-06-21 00:00:00,1,PHO,/players/o/okoboel01.html,101.0,draft,-6826.700000000001,-0.9,0.0,0.0,False,0.0,0.0,-105321.80000000002,-24.19999999999999,-25,-10,31,31,-6875.7,-0.9,-1363.2,0.2
158,George King,added George King to PHO,0.0,0.0,2018-06-21 00:00:00,1,PHO,/players/k/kingge03.html,101.0,draft,-47.400000000000006,0.0,0.0,0.0,False,0.0,0.0,-105321.80000000002,-24.19999999999999,15,35,59,59,-430.0,-0.1,-17562.5,-1.2
